keyword,language,cluster,subcluster,audience,country_market,intent,funnel_stage,priority,recommended_page_type,suggested_slug,primary_kpi,content_angle,trust_requirement,verification_flag,notes
דירות למכירה בהרצליה,he,Local SEO,city sale pages,Israeli buyers,IL,local,decision,P1,city marketplace hub,/real-estate/herzliya/for-sale,qualified listing search,Market hub for apartments for sale in הרצליה.,"live listings, duplicate checks, last-updated timestamps",NEEDS_VERIFICATION,Publish only after public trust cleanup and listing data QA.
דירות למכירה בחיפה,he,Local SEO,city sale pages,Israeli buyers,IL-HFA,local,decision,P1,city marketplace hub,/real-estate/haifa/for-sale,qualified listing search,Market hub for apartments for sale in חיפה.,"live listings, duplicate checks, last-updated timestamps",NEEDS_VERIFICATION,Publish only after public trust cleanup and listing data QA.
דירות למכירה בלב תל אביב,he,Local SEO,neighborhood sale pages,Israeli buyers,IL-TLV,local,decision,P1,neighborhood marketplace hub,/real-estate/neighborhoods/lev-tel-aviv/for-sale,qualified listing search,Neighborhood guide plus active inventory for לב תל אביב.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בנווה צדק,he,Local SEO,neighborhood sale pages,Israeli buyers,IL-TLV,local,decision,P1,neighborhood marketplace hub,/real-estate/neighborhoods/neve-tzedek/for-sale,qualified listing search,Neighborhood guide plus active inventory for נווה צדק.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בנתניה,he,Local SEO,city sale pages,Israeli buyers,IL,local,decision,P1,city marketplace hub,/real-estate/netanya/for-sale,qualified listing search,Market hub for apartments for sale in נתניה.,"live listings, duplicate checks, last-updated timestamps",NEEDS_VERIFICATION,Publish only after public trust cleanup and listing data QA.
דירות למכירה בפתח תקווה,he,Local SEO,city sale pages,Israeli buyers,IL,local,decision,P1,city marketplace hub,/real-estate/petah-tikva/for-sale,qualified listing search,Market hub for apartments for sale in פתח תקווה.,"live listings, duplicate checks, last-updated timestamps",NEEDS_VERIFICATION,Publish only after public trust cleanup and listing data QA.
דירות למכירה בצפון הישן,he,Local SEO,neighborhood sale pages,Israeli buyers,IL-TLV,local,decision,P1,neighborhood marketplace hub,/real-estate/neighborhoods/old-north-tel-aviv/for-sale,qualified listing search,Neighborhood guide plus active inventory for הצפון הישן.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בראשון לציון,he,Local SEO,city sale pages,Israeli buyers,IL,local,decision,P1,city marketplace hub,/real-estate/rishon-lezion/for-sale,qualified listing search,Market hub for apartments for sale in ראשון לציון.,"live listings, duplicate checks, last-updated timestamps",NEEDS_VERIFICATION,Publish only after public trust cleanup and listing data QA.
luxury apartments Tel Aviv new project,en,New Projects,luxury discovery,buyers/developers,IL-TLV,commercial,consideration,P1,project or project-cluster hub,/projects/luxury-tel-aviv-new-projects,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
new developments in Tel Aviv,en,New Projects,international discovery,international investors,IL-TLV,commercial,consideration,P1,project or project-cluster hub,/projects/tel-aviv-new-developments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
דירה על הנייר תל אביב,he,New Projects,off-plan buying,buyers/developers,IL-TLV,commercial,consideration,P1,project or project-cluster hub,/projects/off-plan-tel-aviv,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
דירות חדשות בהרצליה,he,New Projects,city new projects,buyers/developers,IL,commercial,consideration,P1,project or project-cluster hub,/projects/herzliya-new-apartments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
דירות חדשות בירושלים,he,New Projects,city new projects,buyers/developers,IL,commercial,consideration,P1,project or project-cluster hub,/projects/jerusalem-new-apartments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
דירות חדשות ברמת גן,he,New Projects,city new projects,buyers/developers,IL,commercial,consideration,P1,project or project-cluster hub,/projects/ramat-gan-new-apartments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
דירות חדשות ליד הים תל אביב,he,New Projects,lifestyle project,buyers/developers,IL-TLV,commercial,consideration,P1,project or project-cluster hub,/projects/tel-aviv-seafront-new-apartments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
השוואת פרויקטים חדשים,he,New Projects,comparison,buyers/developers,IL,comparison,consideration,P1,project or project-cluster hub,/projects/compare-new-projects,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
השקעה בפרויקט חדש בישראל,he,New Projects,investor project,buyers/developers,IL,commercial,consideration,P1,project or project-cluster hub,/projects/invest-new-development-israel,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
ליווי קניית דירה מקבלן,he,New Projects,conversion route,buyers/developers,IL,commercial,consideration,P1,project or project-cluster hub,/projects/developer-purchase-support,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
מפת פרויקטים חדשים,he,New Projects,map discovery,buyers/developers,IL,commercial,consideration,P1,project or project-cluster hub,/projects/new-projects-map,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
פרויקטים חדשים בגבעתיים,he,New Projects,city new projects,buyers/developers,IL,commercial,consideration,P1,project or project-cluster hub,/projects/givatayim-new-projects,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
real estate lawyer Israel English,en,Professionals,lawyer English,buyers/sellers/investors/professionals,IL,transactional,decision,P1,professional directory category,/professionals/english-real-estate-lawyer-israel,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION;LEGAL_REVIEW,Do not publish placeholder professional profiles.
בדק בית לפני קניה,he,Professionals,inspector,buyers/sellers/investors/professionals,IL,transactional,decision,P1,professional directory category,/professionals/home-inspection-before-buying,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
יועץ משכנתאות מומלץ,he,Professionals,mortgage advisor,buyers/sellers/investors/professionals,IL,transactional,decision,P1,professional directory category,/professionals/mortgage-advisor,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
מתווך מומלץ ברמת גן,he,Professionals,realtor,buyers/sellers/investors/professionals,IL,transactional,decision,P1,professional directory category,/professionals/ramat-gan-real-estate-agent,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
עורך דין פינוי בינוי,he,Professionals,urban renewal lawyer,buyers/sellers/investors/professionals,IL,transactional,decision,P1,professional directory category,/professionals/pinui-binui-lawyer,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION;LEGAL_REVIEW,Do not publish placeholder professional profiles.
שמאי מקרקעין בתל אביב,he,Professionals,appraiser,buyers/sellers/investors/professionals,IL-TLV,transactional,decision,P1,professional directory category,/professionals/tel-aviv-property-appraiser,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
Israel mortgage calculator,en,Tools Calculators,mortgage,buyers/investors/sellers,IL,informational,consideration,P1,interactive tool or calculator,/tools/israel-mortgage-calculator,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
בדיקת כדאיות דירה להשקעה,he,Tools Calculators,investment analysis,buyers/investors/sellers,IL,informational,consideration,P1,interactive tool or calculator,/tools/investment-apartment-analysis,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
טבלת עלויות קניית דירה,he,Tools Calculators,buyer costs,buyers/investors/sellers,IL,informational,consideration,P1,interactive tool or calculator,/tools/apartment-buying-costs,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
מחשבון הון עצמי לדירה,he,Tools Calculators,affordability,buyers/investors/sellers,IL,informational,consideration,P1,interactive tool or calculator,/tools/down-payment-calculator,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
מחשבון עלות שיפוץ דירה,he,Tools Calculators,renovation,buyers/investors/sellers,IL,informational,consideration,P1,interactive tool or calculator,/tools/renovation-cost-calculator,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
מחשבון שכירות מול קניה,he,Tools Calculators,rent vs buy,buyers/investors/sellers,IL,informational,consideration,P1,interactive tool or calculator,/tools/rent-vs-buy-calculator,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
מחשבון תשואה נטו דירה להשקעה,he,Tools Calculators,net yield,buyers/investors/sellers,IL,informational,consideration,P1,interactive tool or calculator,/tools/net-rental-yield-calculator,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
how to check Israeli land registry,en,Trust Due Diligence,English registry,buyers/investors/sellers,IL,due_diligence,consideration,P1,trust guide or comparison page,/trust/israeli-land-registry-check,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
real estate scams Israel,en,Trust Due Diligence,English scam prevention,buyers/investors/sellers,IL,due_diligence,consideration,P1,trust guide or comparison page,/trust/real-estate-scams-israel,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION;LEGAL_REVIEW,Important for public trust and international investor confidence.
איך לזהות מודעת נדלן מזויפת,he,Trust Due Diligence,scam prevention,buyers/investors/sellers,IL,due_diligence,consideration,P1,trust guide or comparison page,/trust/fake-real-estate-listing,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION;LEGAL_REVIEW,Important for public trust and international investor confidence.
אימות מתווך נדלן,he,Trust Due Diligence,professional verification,buyers/investors/sellers,IL,due_diligence,consideration,P1,trust guide or comparison page,/trust/verify-real-estate-agent,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
אימות עורך דין מקרקעין,he,Trust Due Diligence,professional verification,buyers/investors/sellers,IL,due_diligence,consideration,P1,trust guide or comparison page,/trust/verify-real-estate-lawyer,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
בדיקת זכויות בטאבו,he,Trust Due Diligence,land registry,buyers/investors/sellers,IL,due_diligence,consideration,P1,trust guide or comparison page,/trust/land-registry-rights-check,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
ביקורות פרויקט נדלן,he,Trust Due Diligence,reviews,buyers/investors/sellers,IL,due_diligence,consideration,P1,trust guide or comparison page,/trust/real-estate-project-reviews,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION;LEGAL_REVIEW,Important for public trust and international investor confidence.
השוואת אתרי נדלן בישראל,he,Trust Due Diligence,platform comparison,buyers/investors/sellers,IL,comparison,consideration,P1,trust guide or comparison page,/trust/israel-real-estate-sites-comparison,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
מדלן או יד2,he,Trust Due Diligence,competitor comparison,buyers/investors/sellers,IL,comparison,consideration,P1,trust guide or comparison page,/trust/madlan-vs-yad2,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
שקיפות מחירי נדלן,he,Trust Due Diligence,market trust,buyers/investors/sellers,IL,due_diligence,consideration,P1,trust guide or comparison page,/trust/real-estate-price-transparency,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
איך לבדוק יזם פינוי בינוי,he,Urban Renewal,developer check,owners/buyers/investors,IL,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-developer-check,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
בדיקת סטטוס היתר בניה,he,Urban Renewal,permit status,owners/buyers/investors,IL,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/building-permit-status,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
בדיקת תבע,he,Urban Renewal,planning due diligence,owners/buyers/investors,IL,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/taba-check,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
היתר בניה תל אביב,he,Urban Renewal,permit,owners/buyers/investors,IL-TLV,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/building-permit-tel-aviv,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
התחדשות עירונית ירושלים,he,Urban Renewal,urban renewal city,owners/buyers/investors,IL,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/urban-renewal-jerusalem,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
ליווי משפטי פינוי בינוי,he,Urban Renewal,legal support,owners/buyers/investors,IL,due_diligence,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-legal-support,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
מפת התחדשות עירונית,he,Urban Renewal,map discovery,owners/buyers/investors,IL,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/urban-renewal-map,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
פינוי בינוי גבעתיים,he,Urban Renewal,pinui binui city,owners/buyers/investors,IL,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-givatayim,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
פרויקטים פינוי בינוי ברמת גן,he,Urban Renewal,project cluster,owners/buyers/investors,IL,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-projects-ramat-gan,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
תמא 38 תל אביב,he,Urban Renewal,tama city,owners/buyers/investors,IL-TLV,informational,consideration,P1,"guide, map, or project-cluster hub",/urban-renewal/tama-38-tel-aviv,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
real estate 3D showroom Israel,en,3D Map Showroom,3d showroom English,buyers/international investors/developers,IL,commercial,consideration,P2,showroom feature page or project UX,/showroom/real-estate-3d-showroom-israel,showroom interaction,"Visual exploration that clearly labels official, concept, missing, and unavailable assets.",official media license/status; no silent fallback,REQUIRES_OFFICIAL_ASSET;NEEDS_VERIFICATION,Do not ship fake facade or unlabeled concept assets.
דירה עם נוף לים תל אביב,he,3D Map Showroom,lifestyle filter,buyers/international investors/developers,IL,commercial,consideration,P2,showroom feature page or project UX,/showroom/tel-aviv-sea-view-apartments,showroom interaction,"Visual exploration that clearly labels official, concept, missing, and unavailable assets.",official media license/status; no silent fallback,REQUIRES_OFFICIAL_ASSET;NEEDS_VERIFICATION,Do not ship fake facade or unlabeled concept assets.
הדמיית בניין מול מציאות,he,3D Map Showroom,asset trust,buyers/international investors/developers,IL,commercial,consideration,P2,showroom feature page or project UX,/showroom/render-vs-reality,showroom interaction,"Visual exploration that clearly labels official, concept, missing, and unavailable assets.",official media license/status; no silent fallback,REQUIRES_OFFICIAL_ASSET;NEEDS_VERIFICATION,Do not ship fake facade or unlabeled concept assets.
השוואת קומות וכיווני אוויר,he,3D Map Showroom,project UX,buyers/international investors/developers,IL,commercial,consideration,P2,showroom feature page or project UX,/showroom/floor-direction-comparison,showroom interaction,"Visual exploration that clearly labels official, concept, missing, and unavailable assets.",official media license/status; no silent fallback,REQUIRES_OFFICIAL_ASSET;NEEDS_VERIFICATION,Do not ship fake facade or unlabeled concept assets.
סיור תלת מימד דירה חדשה,he,3D Map Showroom,3d tour,buyers/international investors/developers,IL,commercial,consideration,P2,showroom feature page or project UX,/showroom/3d-apartment-tour,showroom interaction,"Visual exploration that clearly labels official, concept, missing, and unavailable assets.",official media license/status; no silent fallback,REQUIRES_OFFICIAL_ASSET;NEEDS_VERIFICATION,Do not ship fake facade or unlabeled concept assets.
איך לבחור מתווך,he,Buyer Seller Core,professional selection,sellers/buyers,IL,commercial,awareness,P2,guide,/choose-real-estate-agent,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
מכירת דירה בלי מתווך,he,Buyer Seller Core,seller workflow,owners/sellers,IL,commercial,awareness,P2,seller guide,/sell-apartment-without-agent,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
משא ומתן לקניית דירה,he,Buyer Seller Core,negotiation,buyers,IL,commercial,awareness,P2,guide,/apartment-negotiation,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
Arnona property tax Israel,en,International Investors,ownership cost guide,international investors,IL / global,informational,consideration,P2,English guide/hub,/en/arnona-property-tax-israel,English inquiry or guide completion,English-first investor education with Israeli proof and clear disclaimers.,"legal/tax disclaimer, official source links, last reviewed date",LEGAL_REVIEW;OFFICIAL_SOURCE_REQUIRED,International pages need extra care: no legal/tax advice without review.
investment property Israel for US buyers,en,International Investors,international investor,international investors,IL / global,informational,awareness,P2,English guide/hub,/en/investment-property-israel-for-us-buyers,English inquiry or guide completion,English-first investor education with Israeli proof and clear disclaimers.,"legal/tax disclaimer, official source links, last reviewed date",NEEDS_VERIFICATION,International pages need extra care: no legal/tax advice without review.
Israel mortgage advisor English,en,International Investors,professional directory,international investors,IL / global,informational,awareness,P2,English guide/hub,/en/israel-mortgage-advisor-english,English inquiry or guide completion,English-first investor education with Israeli proof and clear disclaimers.,"legal/tax disclaimer, official source links, last reviewed date",NEEDS_VERIFICATION,International pages need extra care: no legal/tax advice without review.
Tel Aviv neighborhoods for expats,en,International Investors,neighborhood guide,international investors,IL-TLV / global,informational,consideration,P2,English guide/hub,/en/tel-aviv-neighborhoods-for-expats,English inquiry or guide completion,English-first investor education with Israeli proof and clear disclaimers.,"legal/tax disclaimer, official source links, last reviewed date",NEEDS_VERIFICATION,International pages need extra care: no legal/tax advice without review.
דירות להשכרה בבת ים,he,Local SEO,city rent pages,Israeli renters,IL,local,decision,P2,city rental hub,/real-estate/bat-yam/rent,rental lead,Rental hub for active inventory in בת ים.,"live listings, owner/broker disclosure, stale-listing removal",NEEDS_VERIFICATION,Needs anti-spam listing workflow before scaling.
דירות להשכרה בחולון,he,Local SEO,city rent pages,Israeli renters,IL,local,decision,P2,city rental hub,/real-estate/holon/rent,rental lead,Rental hub for active inventory in חולון.,"live listings, owner/broker disclosure, stale-listing removal",NEEDS_VERIFICATION,Needs anti-spam listing workflow before scaling.
דירות למכירה באם המושבות פתח תקווה,he,Local SEO,neighborhood sale pages,Israeli buyers,IL,local,decision,P2,neighborhood marketplace hub,/real-estate/neighborhoods/em-hamoshavot-petah-tikva/for-sale,qualified listing search,Neighborhood guide plus active inventory for אם המושבות פתח תקווה.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בבת ים,he,Local SEO,city sale pages,Israeli buyers,IL,local,decision,P2,city marketplace hub,/real-estate/bat-yam/for-sale,qualified listing search,Market hub for apartments for sale in בת ים.,"live listings, duplicate checks, last-updated timestamps",NEEDS_VERIFICATION,Publish only after public trust cleanup and listing data QA.
דירות למכירה בחולון,he,Local SEO,city sale pages,Israeli buyers,IL,local,decision,P2,city marketplace hub,/real-estate/holon/for-sale,qualified listing search,Market hub for apartments for sale in חולון.,"live listings, duplicate checks, last-updated timestamps",NEEDS_VERIFICATION,Publish only after public trust cleanup and listing data QA.
דירות למכירה במושבה הגרמנית ירושלים,he,Local SEO,neighborhood sale pages,Israeli buyers,IL-JLM,local,decision,P2,neighborhood marketplace hub,/real-estate/neighborhoods/german-colony-jerusalem/for-sale,qualified listing search,Neighborhood guide plus active inventory for מושבה גרמנית ירושלים.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בעיר ימים נתניה,he,Local SEO,neighborhood sale pages,Israeli buyers,IL,local,decision,P2,neighborhood marketplace hub,/real-estate/neighborhoods/ir-yamim-netanya/for-sale,qualified listing search,Neighborhood guide plus active inventory for עיר ימים נתניה.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בפארק הים בת ים,he,Local SEO,neighborhood sale pages,Israeli buyers,IL,local,decision,P2,neighborhood marketplace hub,/real-estate/neighborhoods/park-hayam-bat-yam/for-sale,qualified listing search,Neighborhood guide plus active inventory for פארק הים בת ים.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בפלורנטין,he,Local SEO,neighborhood sale pages,Israeli buyers,IL-TLV,local,decision,P2,neighborhood marketplace hub,/real-estate/neighborhoods/florentin/for-sale,qualified listing search,Neighborhood guide plus active inventory for פלורנטין.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה ברחביה ירושלים,he,Local SEO,neighborhood sale pages,Israeli buyers,IL-JLM,local,decision,P2,neighborhood marketplace hub,/real-estate/neighborhoods/rehavia-jerusalem/for-sale,qualified listing search,Neighborhood guide plus active inventory for רחביה ירושלים.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות חדשות בנתניה ליד הים,he,New Projects,city new projects,buyers/developers,IL,commercial,consideration,P2,project or project-cluster hub,/projects/netanya-seafront-new-apartments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
דירות חדשות בפתח תקווה,he,New Projects,city new projects,buyers/developers,IL,commercial,consideration,P2,project or project-cluster hub,/projects/petah-tikva-new-apartments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
