keyword,language,cluster,subcluster,audience,country_market,intent,funnel_stage,priority,recommended_page_type,suggested_slug,primary_kpi,content_angle,trust_requirement,verification_flag,notes
yad2 in english,en,trust_comparison,platform_compare,investor,INTL,navigational,consideration,P2,guide,/en/guides/yad2-english,organic_sessions,,editorial,NEEDS_VERIFICATION,
is it safe to buy property in israel,en,trust_comparison,intl_due_diligence,investor,INTL,due_diligence,awareness,P1,guide,/en/guides/safety-buying-israel,organic_sessions,,attorney + editorial,LEGAL_REVIEW,
real estate scams israel,en,trust_comparison,intl_due_diligence,investor,INTL,due_diligence,awareness,P1,guide,/en/guides/scams,organic_sessions,,attorney + editorial,LEGAL_REVIEW,
דירות למכירה {city},he,local_programmatic,buy_template,buyer,IL,transactional,decision,P2,template,/buy/{city},organic_sessions,template — Tel Aviv/JLM/Haifa/Ramat Gan/Herzliya/Raanana/Kfar Saba/Petah Tikva/Rishon LeZion/Netanya/Beer Sheva/Ashdod/Ashkelon/Rehovot/Holon/Bat Yam/Givatayim/Modiin/Ramat HaSharon,real supply,NEEDS_VERIFICATION,Expand into 20+ rows once trust passes
דירות להשכרה {city},he,local_programmatic,rent_template,renter,IL,transactional,decision,P2,template,/rent/{city},organic_sessions,same city list,real supply,NEEDS_VERIFICATION,
פרויקטים חדשים {city},he,local_programmatic,projects_template,buyer,IL,commercial,consideration,P2,template,/projects/{city},organic_sessions,same city list,developer-verified,REQUIRES_OFFICIAL_ASSET,
מחירי דירות {city},he,local_programmatic,prices_template,buyer,IL,informational,awareness,P2,template,/market/prices/{city},organic_sessions,city price report,CBS,OFFICIAL_SOURCE_REQUIRED,
תשואה ממוצעת {city},he,local_programmatic,yield_template,investor,IL,informational,consideration,P2,template,/data/yields/{city},organic_sessions,,CBS + market,OFFICIAL_SOURCE_REQUIRED,
מתווכים {city},he,local_programmatic,realtors_template,buyer,IL,local,decision,P2,template,/professionals/realtors/{city},leads,,license verification,REQUIRES_OFFICIAL_ASSET,
עורך דין מקרקעין {city},he,local_programmatic,lawyers_template,buyer,IL,local,decision,P2,template,/professionals/lawyers/{city},leads,,bar verification,REQUIRES_OFFICIAL_ASSET,
שמאי מקרקעין {city},he,local_programmatic,appraisers_template,seller,IL,local,decision,P3,template,/professionals/appraisers/{city},leads,,council verification,REQUIRES_OFFICIAL_ASSET,
התחדשות עירונית {city},he,local_programmatic,renewal_template,owner,IL,local,consideration,P2,template,/urban-renewal/{city},organic_sessions,,municipal data,OFFICIAL_SOURCE_REQUIRED,
דירות למכירה {neighborhood} {city},he,local_programmatic,buy_neighborhood_template,buyer,IL,transactional,decision,P3,template,/buy/{city}/{neighborhood},organic_sessions,gen after city hubs,real supply,NEEDS_VERIFICATION,Florentin/Neve Tzedek/Sde Dov/Ramat Aviv/Old North/Kiryat Yovel etc.
דירות להשכרה {neighborhood} {city},he,local_programmatic,rent_neighborhood_template,renter,IL,transactional,decision,P3,template,/rent/{city}/{neighborhood},organic_sessions,,real supply,NEEDS_VERIFICATION,
{city} apartments for sale,en,local_programmatic,intl_buy_template,investor,INTL,commercial,decision,P3,template,/en/buy/{city},leads,Tel Aviv/JLM/Herzliya/Netanya/Raanana/Haifa,real supply,NEEDS_VERIFICATION,
{city} apartments for rent,en,local_programmatic,intl_rent_template,renter,INTL,commercial,decision,P3,template,/en/rent/{city},leads,same intl cities,real supply,NEEDS_VERIFICATION,
new projects {city} israel,en,local_programmatic,intl_projects_template,investor,INTL,commercial,consideration,P3,template,/en/projects/{city},leads,,developer-verified,REQUIRES_OFFICIAL_ASSET,
real estate lawyer {city} israel,en,local_programmatic,intl_lawyers_template,investor,INTL,local,decision,P3,template,/en/professionals/lawyers/{city},leads,,bar verification,REQUIRES_OFFICIAL_ASSET,
mortgage advisor {city} israel,en,local_programmatic,intl_mortgage_template,investor,INTL,local,decision,P3,template,/en/professionals/mortgage-advisors/{city},leads,,license,REQUIRES_OFFICIAL_ASSET,
nadlan,he,buyer_seller_core,brand,buyer,IL,navigational,awareness,P1,brand,/,direct,brand defense,brand,NEEDS_VERIFICATION,
nadlan israel,en,intl_investor,brand,investor,INTL,navigational,awareness,P1,brand,/en,direct,brand defense,brand,NEEDS_VERIFICATION,
נדלן,he,buyer_seller_core,category,buyer,IL,navigational,awareness,P1,hub,/,organic_sessions,category capture,brand,NEEDS_VERIFICATION,
שוק הנדלן בישראל,he,buyer_seller_core,market_data,buyer,IL,informational,awareness,P1,report,/market/overview,organic_sessions,annual overview,CBS + Bank of Israel,OFFICIAL_SOURCE_REQUIRED,
מחירי שכירות תל אביב,he,buyer_seller_core,market_data,renter,IL,informational,awareness,P1,data_page,/market/rent-prices/tel-aviv,organic_sessions,,CBS,OFFICIAL_SOURCE_REQUIRED,
מחירי שכירות ירושלים,he,buyer_seller_core,market_data,renter,IL,informational,awareness,P2,data_page,/market/rent-prices/jerusalem,organic_sessions,,CBS,OFFICIAL_SOURCE_REQUIRED,
שטח דירה ברוטו נטו,he,buyer_seller_core,buyer_guide,buyer,IL,informational,consideration,P2,guide,/guides/gross-vs-net-area,organic_sessions,,attorney + appraiser,LEGAL_REVIEW,
מרפסת שמש,he,buyer_seller_core,buyer_guide,buyer,IL,informational,consideration,P3,guide,/guides/sun-balcony,organic_sessions,,editorial,NEEDS_VERIFICATION,
דירת גן,he,buyer_seller_core,buyer_guide,buyer,IL,informational,consideration,P3,guide,/guides/garden-apartment,organic_sessions,,editorial,NEEDS_VERIFICATION,
דירת גג,he,buyer_seller_core,buyer_guide,buyer,IL,informational,consideration,P3,guide,/guides/penthouse,organic_sessions,,editorial,NEEDS_VERIFICATION,
דירת מיני פנטהאוז,he,buyer_seller_core,buyer_guide,buyer,IL,informational,consideration,P3,guide,/guides/mini-penthouse,organic_sessions,,editorial,NEEDS_VERIFICATION,
ועד בית,he,buyer_seller_core,buyer_guide,owner,IL,informational,consideration,P2,guide,/guides/building-committee,organic_sessions,,attorney,LEGAL_REVIEW,
ארנונה,he,buyer_seller_core,ownership,owner,IL,informational,consideration,P2,guide,/guides/property-tax,organic_sessions,,municipal + attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
ביטוח דירה,he,buyer_seller_core,ownership,owner,IL,commercial,consideration,P2,guide,/guides/home-insurance,organic_sessions,,licensed insurer,LEGAL_REVIEW,
משכנתא לדירה ראשונה,he,tools_calculators,mortgage,buyer,IL,informational,consideration,P0,guide,/mortgage/first-home,organic_sessions,,advisor + Bank of Israel,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
משכנתא לדירה שניה,he,tools_calculators,mortgage,investor,IL,informational,consideration,P1,guide,/mortgage/second-home,organic_sessions,,advisor,LEGAL_REVIEW,
מסלולי משכנתא,he,tools_calculators,mortgage,buyer,IL,informational,consideration,P1,guide,/mortgage/tracks,organic_sessions,,advisor,LEGAL_REVIEW,
ריבית משכנתא היום,he,tools_calculators,mortgage,buyer,IL,informational,decision,P1,data_page,/mortgage/rates-today,organic_sessions,,Bank of Israel daily,OFFICIAL_SOURCE_REQUIRED,
מחיר למשתכן,he,projects_developers,subsidized,buyer,IL,informational,consideration,P1,guide,/guides/mehir-lamishtaken,organic_sessions,,Housing Ministry,OFFICIAL_SOURCE_REQUIRED|LEGAL_REVIEW,
דיור בהישג יד,he,projects_developers,subsidized,buyer,IL,informational,consideration,P2,guide,/guides/affordable-housing,organic_sessions,,Housing Ministry,OFFICIAL_SOURCE_REQUIRED,
הגרלות דירות,he,projects_developers,subsidized,buyer,IL,navigational,decision,P1,data_page,/lottery/apartments,organic_sessions,active lottery list,Housing Ministry,OFFICIAL_SOURCE_REQUIRED,
דירות יוקרה תל אביב,he,buyer_seller_core,luxury,investor,IL,commercial,decision,P2,city_hub,/buy/tel-aviv/luxury,leads,luxury sub-hub,real supply,NEEDS_VERIFICATION,
luxury apartments tel aviv,en,intl_investor,luxury,investor,INTL,commercial,decision,P1,city_hub,/en/buy/tel-aviv/luxury,leads,,real supply,NEEDS_VERIFICATION,
penthouse tel aviv for sale,en,intl_investor,luxury,investor,INTL,commercial,decision,P1,city_hub,/en/buy/tel-aviv/penthouse,leads,,real supply,NEEDS_VERIFICATION,
beachfront apartments israel,en,intl_investor,luxury,investor,INTL,commercial,decision,P2,hub,/en/buy/beachfront,leads,coastal hub,real supply,NEEDS_VERIFICATION,
how to get an israeli mortgage,en,intl_investor,intl_finance,investor,INTL,informational,consideration,P1,guide,/en/mortgage/process,organic_sessions,,advisor,LEGAL_REVIEW,
israeli property tax for foreigners,en,intl_investor,intl_tax,investor,INTL,informational,consideration,P1,guide,/en/tax/foreign-property-tax,organic_sessions,,attorney + CPA,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
inheritance tax israel real estate,en,intl_investor,intl_tax,investor,INTL,informational,consideration,P2,guide,/en/tax/inheritance,organic_sessions,,attorney + CPA,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
power of attorney israel real estate,en,intl_investor,intl_process,investor,INTL,informational,consideration,P2,guide,/en/process/power-of-attorney,organic_sessions,,attorney,LEGAL_REVIEW,
"בורסת נדל""ן",he,buyer_seller_core,category,investor,IL,informational,awareness,P3,guide,/guides/real-estate-market,organic_sessions,,editorial,NEEDS_VERIFICATION,
קרן ריט,he,buyer_seller_core,investing,investor,IL,informational,awareness,P2,guide,/guides/reit,organic_sessions,,licensed advisor,LEGAL_REVIEW,
קבוצת רכישה,he,projects_developers,group_purchase,buyer,IL,informational,consideration,P1,guide,/guides/purchase-group,organic_sessions,,attorney,LEGAL_REVIEW,
מיסוי קבוצת רכישה,he,projects_developers,group_purchase,buyer,IL,informational,consideration,P2,guide,/guides/purchase-group-tax,organic_sessions,,CPA + attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
איך לחסוך במס שבח,he,tools_calculators,tax,seller,IL,informational,decision,P1,guide,/guides/capital-gains-savings,organic_sessions,,CPA + attorney,LEGAL_REVIEW,
פטור ממס שבח דירה יחידה,he,tools_calculators,tax,seller,IL,informational,decision,P1,guide,/guides/single-home-exemption,organic_sessions,,CPA + attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
שיפוץ מטבח מחיר,he,tools_calculators,renovation,buyer,IL,commercial,consideration,P2,guide,/guides/kitchen-renovation-cost,organic_sessions,,contractor survey,NEEDS_VERIFICATION,
שיפוץ אמבטיה מחיר,he,tools_calculators,renovation,buyer,IL,commercial,consideration,P2,guide,/guides/bathroom-renovation-cost,organic_sessions,,contractor survey,NEEDS_VERIFICATION,
מחיר ריצוף למטר,he,tools_calculators,renovation,buyer,IL,commercial,consideration,P3,guide,/guides/flooring-cost-per-sqm,organic_sessions,,contractor survey,NEEDS_VERIFICATION,
זמן שיפוץ דירה,he,tools_calculators,renovation,buyer,IL,informational,consideration,P3,guide,/guides/renovation-timeline,organic_sessions,,contractor survey,NEEDS_VERIFICATION,
היתר בניה תוספת,he,urban_renewal,permits,owner,IL,informational,consideration,P2,guide,/guides/extension-permit,organic_sessions,,municipal + attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
חריגות בניה,he,urban_renewal,permits,owner,IL,informational,consideration,P2,guide,/guides/building-violations,organic_sessions,,attorney,LEGAL_REVIEW,
טופס 4,he,urban_renewal,permits,buyer,IL,informational,decision,P1,guide,/guides/form-4,organic_sessions,occupancy permit,attorney + municipal,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
רישום בית משותף,he,urban_renewal,permits,owner,IL,informational,consideration,P2,guide,/guides/condominium-registration,organic_sessions,,attorney + Land Registry,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
פרצלציה,he,urban_renewal,planning,owner,IL,informational,consideration,P3,guide,/guides/parcellation,organic_sessions,,attorney,LEGAL_REVIEW,
היטל השבחה,he,urban_renewal,planning,owner,IL,informational,consideration,P1,guide,/guides/betterment-levy,organic_sessions,,attorney + appraiser,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
דמי הסכמה,he,urban_renewal,planning,owner,IL,informational,consideration,P2,guide,/guides/consent-fee,organic_sessions,ILA,attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
חכירה מהוונת,he,urban_renewal,planning,owner,IL,informational,consideration,P2,guide,/guides/capitalized-lease,organic_sessions,ILA,attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
מנהל מקרקעי ישראל,he,urban_renewal,planning,owner,IL,navigational,awareness,P2,guide,/guides/ila,organic_sessions,,ILA,OFFICIAL_SOURCE_REQUIRED,
how does tama 38 work,en,intl_investor,intl_renewal,investor,INTL,informational,awareness,P2,guide,/en/urban-renewal/tama-38-how-it-works,organic_sessions,,attorney,LEGAL_REVIEW,
property management israel,en,intl_investor,intl_services,investor,INTL,commercial,decision,P2,directory,/en/professionals/property-management,leads,,vetting,REQUIRES_OFFICIAL_ASSET,
short term rental israel laws,en,intl_investor,intl_legal,investor,INTL,informational,consideration,P2,guide,/en/legal/short-term-rentals,organic_sessions,,attorney,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
airbnb tel aviv regulations,en,intl_investor,intl_legal,investor,INTL,informational,consideration,P2,guide,/en/legal/airbnb-tel-aviv,organic_sessions,,attorney + municipal,LEGAL_REVIEW|OFFICIAL_SOURCE_REQUIRED,
real estate agents tel aviv english speaking,en,intl_investor,intl_professionals,investor,INTL,local,decision,P1,directory,/en/professionals/realtors/tel-aviv,leads,,license verification,REQUIRES_OFFICIAL_ASSET,
nefesh b'nefesh real estate,en,intl_investor,intl_aliyah,investor,US,navigational,awareness,P3,guide,/en/aliyah/partners,organic_sessions,,partnership outreach,NEEDS_VERIFICATION,
how to get a mashkanta,en,intl_investor,intl_finance,investor,INTL,informational,consideration,P2,guide,/en/mortgage/mashkanta-explained,organic_sessions,,advisor,LEGAL_REVIEW,
arnona tel aviv,en,intl_investor,intl_ownership,investor,INTL,informational,consideration,P2,guide,/en/ownership/arnona-tel-aviv,organic_sessions,,municipal,OFFICIAL_SOURCE_REQUIRED,
cost of living tel aviv,en,intl_investor,intl_overview,investor,INTL,informational,awareness,P2,guide,/en/lifestyle/cost-of-living-tel-aviv,organic_sessions,,CBS + survey,OFFICIAL_SOURCE_REQUIRED,
best neighborhoods tel aviv,en,intl_investor,intl_neighborhoods,investor,INTL,informational,consideration,P1,guide,/en/neighborhoods/tel-aviv,organic_sessions,Anglo-relevant,editorial + data,NEEDS_VERIFICATION,
best neighborhoods jerusalem,en,intl_investor,intl_neighborhoods,investor,INTL,informational,consideration,P2,guide,/en/neighborhoods/jerusalem,organic_sessions,,editorial,NEEDS_VERIFICATION,
