"fact_id","category","field","current_value","status","source_type","source_owner","source_url","source_date_or_version","accessed_on","confidence","contradiction_or_risk","answer_owner","document_or_api_needed","website_action","priority"
"park-082","transport","nearby_bus_routes_snapshot","Dated Tuesday feed includes Dan routes 4 9 and 81 and Metropoline 524; sampled route 81 stop data had 24 departures 07:00-10:00 with mean gap about 7.2 min and PM mean about 8.9 min","derived_snapshot","official GTFS computation","Ministry of Transport","https://gtfs.mot.gov.il/gtfsfiles/israel-public-transportation.zip","snapshot retrieved 2026-08-10","2026-08-10","high","Routes directions stops and schedules change; scheduled gaps are not observed reliability","Ministry of Transport and operators","Live routing and GTFS-RT where available","Use live planner with dated fallback","P1"
"park-083","transport","green_line_full_operation","Official NTA target is 2030 for full commercial operation","authority_verified","official project page","NTA","https://www.nta.co.il/light-rail/%D7%94%D7%A7%D7%95-%D7%94%D7%99%D7%A8%D7%95%D7%A7","live page","2026-08-10","high","Owner minutes-to-light-rail wording can be mistaken for current service","NTA","Official milestone updates","Place in future layer with target year","P0"
"park-084","transport","green_line_southern_section","Official NTA target is 2028 for southern section","authority_verified","official project page","NTA","https://www.nta.co.il/light-rail/%D7%94%D7%A7%D7%95-%D7%94%D7%99%D7%A8%D7%95%D7%A7","live page","2026-08-10","high","Does not mean Pinhas Rosen service is open in 2028","NTA","Section and station commissioning schedule","Do not generalise to project station","P0"
"park-085","transport","pinhas_rosen_bridge","Official NTA page estimates completion in 2029","authority_verified","official project page","NTA","https://www.nta.co.il/light-rail/%D7%94%D7%A7%D7%95-%D7%94%D7%99%D7%A8%D7%95%D7%A7/%D7%92%D7%A9%D7%A8-%D7%A4%D7%A0%D7%97%D7%A1-%D7%A8%D7%95%D7%96%D7%9F/","live page","2026-08-10","high","Completion estimate may change and is not current transit","NTA","Official milestone and commissioning update","Show future with source date","P0"
"park-086","transport","brochure_walk_claims","Claims 2 min to railway; 2 min to bike path; 3 min to Green Line; 5 min to future terminal","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 8","2026-08-10","medium","No endpoints route accessibility or current future distinction","Building manager NTA and routing provider","Verified entrance routes and current future transit data","Replace claims with route-specific evidence","P0"
"park-087","traffic","peak_vehicle_queue_and_turns","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Road proximity does not establish predictable commute","Municipal traffic authority and building manager","Approved traffic appendix and peak queue operations study","Show unknown; offer time-of-day routing","P1"
"park-088","traffic","bike_route_and_showers","Bike-path proximity claimed; end-to-end route and operational shower details not established","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure","2026-08-10","medium","Route safety storage count shower access hours and cost absent","Building manager and municipality","Cycle access plan storage schedule and amenity rules","Map only verified route and facilities","P1"
"park-089","lease","heads_of_terms_draft_lease","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Commercial and legal risk cannot be compared","Owner leasing team and counsel","Heads of terms draft lease management agreement and appendices","Provide gated data-room request","P0"
"park-090","lease","fitout_guide_landlord_work_letter","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Shell scope programme fees and responsibilities unknown","Owner project and leasing teams","Tenant fit-out handbook and landlord work letter","Request from selected floor","P0"
"park-091","lease","service_charge_reconciliation","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Buyer cannot model escalation or audit rights","Asset manager and counsel","Management agreement budget exclusions and reconciliation policy","Add comparison fields","P0"
"park-092","lease","parking_licence","Not publicly supplied","missing","research finding","Research team","","research cut-off","2026-08-10","high","Broker price alone does not secure bays or define rights","Owner leasing team and manager","Parking licence allocation and house rules","Require in RFP pack","P1"
"park-093","lead","public_contact_form","Owner page contains name email and phone lead form","owner_disclosed","owner website","Allied Real Estate","https://allied-re.co.il/project/the-park/","live page","2026-08-10","high","Public page does not disclose internal routing floor context or response SLA","Nadlan product owner plus commercial and CRM owners","CRM routing map field schema SLA monitoring and failover","Transmit selected floor and issue receipt reference","P0"
"park-094","lead","lead_owner_and_sla","Not publicly established","missing","research finding","Research team","","research cut-off","2026-08-10","high","A submitted lead may lack accountable owner or context","Commercial operations and CRM owner","Named queue routing rules SLA and end-to-end test evidence","Do not promise response time until monitored","P0"
"park-095","market","office_market_context","H2 2025 research reports stronger prime Tel Aviv and softer satellite markets with pipeline concerns","third_party_indication","market research","Cushman and Wakefield Inter Israel","https://www.inter-israel.com/market-research","January 2026 H2 2025 summary","2026-08-10","medium","Macro context does not price a Park floor","Independent tenant representative","Like-for-like executed comparables and competing proposals","Use only as context","P2"
"park-096","market","press_leasing_context","2025-2026 press reports say office leases were not publicly announced and leasing was difficult","third_party_indication","business press","Globes","https://www.globes.co.il/news/article.aspx?did=1001544585&from_mail=newsletter2099+2026-06-03","2026-06-03","2026-08-10","medium","Press cannot prove vacancy or replace live owner stack","Owner leasing team","Signed current availability and lease schedule","Do not convert to available status","P1"
"park-097","ux","floor_click_minimum_identity","Legal floor elevator label marketing label zone and immutable floor ID are all required","implementation_requirement","research synthesis","Research team","","research cut-off","2026-08-10","high","Current public documents cannot supply a reliable mapping","Product owner plus owner architect","Canonical floor crosswalk","Block publication if identity fields unresolved","P0"
"park-098","ux","availability_freshness_rule","Unknown by default; available requires owner source effective timestamp and exact floor area","implementation_requirement","research synthesis","Research team","","research cut-off","2026-08-10","high","Prevents stale zone marketing from becoming false inventory","Product owner plus owner leasing team","Availability API contract and audit log","Enforce server-side validation","P0"
"park-099","ux","current_future_separation","Current rail and bus must be visually separate from future Green Line","implementation_requirement","research synthesis","Research team","https://www.nta.co.il/light-rail/%D7%94%D7%A7%D7%95-%D7%94%D7%99%D7%A8%D7%95%D7%A7","research cut-off","2026-08-10","high","Failure would materially mislead a foreign buyer","Product owner","Transit data model with status operator date and source","Separate layers and copy","P0"
"park-100","ux","total_cost_components","Rent service charge arnona parking utilities after-hours HVAC security cleaning fit-out amortisation insurance VAT and exchange-rate timestamp","implementation_requirement","research synthesis","Research team","","research cut-off","2026-08-10","high","Mixing rentable usable and assessed-area bases gives false totals","Product and finance owners","Commercial offer management budget assessment and calculator schema","Show each component source basis and confidence","P0"
"park-101","amenities","ayalon_mall_anchor","Official operator lists Ayalon Mall at Abba Hillel 301 with food cinema retail and services","third_party_indication","facility operator page","Azrieli Malls","https://www.azrielimalls.co.il/malls/ayalon","live page","2026-08-10","high","Entrance-to-entrance distance safe walking route and current store hours were not verified from THE PARK","Map data owner plus field auditor","Verified walking route entrances and current directory feed","Show as surrounding-area anchor only with route pending","P1"
"park-102","amenities","nearby_pharmacy_anchor","Super-Pharm publishes an operating Ayalon Mall branch page","third_party_indication","retailer branch page","Super-Pharm","https://shop.super-pharm.co.il/branches/branchPage?code=10","live page","2026-08-10","high","Hours can change and route from THE PARK is not verified","Map data owner plus retailer","Current opening-hours feed and verified route","Show dated hours and route confidence","P1"
"park-103","amenities","nearby_hotel_anchor","Fattal publishes Leonardo Boutique Tel Aviv at HaBarzel 17 Ramat Hahayal","third_party_indication","hotel operator page","Fattal Hotels","https://www.fattal.co.il/hotel/leonardo-boutique-tel-aviv-hotel","live page","2026-08-10","high","Actual journey time and accessible route from THE PARK are not verified","Map data owner plus hotel operator","Entrance coordinate current booking availability and verified route","Show surrounding-area hotel with route pending","P1"
