"gap_id","journey_stage","buyer_question","toha_current_answer","park_current_answer","current_state","severity","decision_risk","required_data_field","evidence_required","data_owner","refresh_sla","one_click_surface","missing_state_action","acceptance_test","generalizes_to"
"G072","mep","What HVAC system serves this floor?","No selected-floor system answer.","No selected-floor system answer.","MISSING","P1","Comfort zoning and operational control are unknown.","mep.hvac_system","As-built HVAC schematic and landlord specification.","Owner mechanical engineer","On as-built change","HVAC drawer","Show Not supplied and request MEP pack.","System type zones controls fresh air and responsibility are structured.","commercial;premium"
"G073","mep","What are standard HVAC operating hours?","Not exposed.","Not exposed.","MISSING","P1","US time-zone operations may be constrained.","mep.hvac_operating_hours","Current building operating policy.","Property manager","Quarterly","HVAC and operating hours card","Show Unknown and request policy.","Hours distinguish weekdays weekends holidays and emergency access.","commercial;premium"
"G074","mep","Can HVAC operate after hours by zone?","Not exposed.","Not exposed.","MISSING","P1","A small late team may have to cool an entire floor.","mep.after_hours_zoning","Controls specification and management policy.","Mechanical engineer and property manager","On controls or policy change","HVAC drawer","Show Not verified and request controls schedule.","User can see minimum zone booking method notice and cost.","commercial;premium"
"G075","mep","What outside-air and occupancy design rates apply?","Not shown.","Not shown.","MISSING","P1","Dense occupancy or special use may not be supported.","mep.outside_air_rate","Mechanical design criteria and commissioning report.","Owner mechanical engineer","On commissioning update","Indoor environment drawer","Do not derive from generic code.","Rates include unit design occupancy standard and test date.","commercial;premium"
"G076","mep","Are utilities submetered by floor or suite?","No floor-level meter schedule.","No floor-level meter schedule.","MISSING","P1","Cost allocation and ESG reporting may be impossible.","mep.metering","As-built meter schedule and billing policy.","Property manager","On system change","MEP and costs drawer","Show Unknown and request meter map.","Electricity water HVAC and special systems each name meter granularity.","commercial;premium"
"G077","mep","What water drainage gas or special-service points are available?","Not shown.","Not shown.","MISSING","P1","Kitchen lab or wellness uses may require expensive enabling works.","mep.special_services","As-built MEP drawings and permitted-use limits.","Owner MEP consultant","On as-built revision","Technical pack","Ask intended use then request relevant service confirmation.","Service location capacity and landlord approval state are floor-specific.","commercial;premium"
"G078","mep","What acoustic performance does the facade and base build provide?","Not selected-floor specific.","Not selected-floor specific.","MISSING","P1","Traffic or construction noise may impair work and calls.","building.acoustic_performance","Acoustic report facade specification and site measurements.","Owner acoustic consultant","After facade change or material environment change","Comfort and risk drawer","Show Not tested where evidence is absent.","Metrics test location floor date and applicable standard are visible.","commercial;premium"
"G079","telecom","Which fiber carriers are live in the building?","No selected-floor carrier list; area content is detached from selection.","Fiber is discussed deep in the article but no verified live carrier list appears in selected floor.","MISSING","P0","Connectivity lead time and resilience cannot be planned.","telecom.carriers","Carrier letters building meet-me-room inventory and serviceability checks.","Building IT manager","Monthly","Connectivity drawer","Show Not verified and request carrier confirmation.","Each carrier has service status medium entry path order contact and verified date.","commercial;premium"
"G080","telecom","How many independent building entry paths exist?","Not shown.","Not shown.","MISSING","P0","Two carriers may share one physical failure point.","telecom.diverse_entries","As-built telecom route drawing and carrier confirmation.","Building IT manager","Annual and on works","Connectivity resilience drawer","Do not equate multiple carriers with path diversity.","Physical entry routes and shared-risk segments are clearly mapped.","commercial;premium"
"G081","telecom","Where are the meet-me rooms and risers relative to this floor?","Not shown.","Not shown.","MISSING","P1","Installation cost and lead time are unknown.","telecom.mmr_and_risers","Controlled as-built low-voltage drawings.","Building IT manager","On as-built change","Secure technical request","Protect sensitive detail; show availability and controlled request.","Authorized requester gets revision-controlled diagram while public view exposes no sensitive topology.","commercial;premium;privacy"
"G082","telecom","What is the typical circuit delivery lead time?","Not shown.","Not shown.","MISSING","P1","Move-in may occur before connectivity.","telecom.delivery_lead_time","Recent carrier quotes or building service history.","Building IT manager and carriers","Quarterly","Connectivity drawer","Show sourced range with date not a guarantee.","Range names carrier product prerequisites and confidence.","commercial;premium"
"G083","vertical transport","Which lift bank serves this floor?","No floor-specific lift-bank mapping.","No floor-specific lift-bank mapping despite conflicting floor schedules.","MISSING","P0","Buyer cannot assess access or even confirm floor numbering.","floor.lift_bank","Approved lift schedule and floor crosswalk.","Building manager and lift consultant","On programming change","Arrival and floor facts","Show Unknown and request lift schedule.","Selected floor highlights its passenger service goods and emergency lifts.","commercial;premium;3D"
"G084","vertical transport","What are lift quantity capacity speed and peak waiting times?","No operational lift metrics.","No operational lift metrics.","MISSING","P1","Large headcount may face unacceptable queues.","building.lift_performance","Lift consultant design study and current traffic test.","Owner lift consultant","Annual and after occupancy shift","Mobility drawer","Show designed versus measured separately.","Peak interval handling capacity load and measurement date are visible.","commercial;premium"
"G085","vertical transport","Is there a dedicated goods or service lift for fit-out and moves?","Not shown.","Not shown.","MISSING","P1","Move logistics and daily operations may fail.","building.goods_lift","Lift schedule dimensions capacity route and booking policy.","Building manager","Quarterly","Loading and logistics drawer","Show Not confirmed and request logistics pack.","Cab dimensions weight access route hours and booking lead time are present.","commercial;premium"
"G086","loading","Where is loading access and what vehicle sizes are allowed?","Map shows only project pin.","Map shows only project pin.","MISSING","P1","Deliveries fit-out and events cannot be planned.","building.loading_dock","Surveyed route dock specification and rules.","Building manager","On route or rule change","Arrival map mode","Show Not mapped and request logistics guide.","One click maps road gate dock route limits booking and contact.","commercial;premium;map"
"G087","security","What are building and floor access hours?","No verified policy in selected context.","No verified policy in selected context.","MISSING","P1","24-hour operations may be restricted.","security.access_hours","Current security and building rules.","Security manager","Quarterly","Security drawer","Show Unknown and ask 24-hour access question.","Hours exceptions registration and after-hours procedure are explicit.","commercial;premium"
"G088","security","Which access-control and visitor systems are supported?","Not shown.","Not shown.","MISSING","P1","Enterprise integration and visitor experience are unknown.","security.access_systems","Owner security specification and privacy assessment.","Security manager and privacy officer","On system change","Security drawer","Provide capability summary without sensitive configuration.","Badge mobile credential visitor pre-registration and integration support are evidenced.","commercial;premium;privacy"
"G089","fire safety","How many exits and protected stairs serve this floor?","No verified plan.","No verified plan.","MISSING","P0","Occupant capacity and fit-out legality cannot be validated.","fire.egress","Approved fire plan and occupancy certificate.","Fire consultant and owner architect","On approved plan change","Plan and compliance drawer","Do not calculate occupancy from area alone.","Exit count travel constraints and source revision map to selected floor.","commercial;premium"
"G090","fire safety","What maximum occupant load is approved?","No selected-floor answer.","No selected-floor answer.","MISSING","P0","Buyer may design for an unlawful headcount.","fire.max_occupant_load","Approved fire-safety and occupancy documents.","Fire consultant","On approval change","Capacity result","Cap test-fit capacity at verified legal maximum.","Scenario warns and blocks a capacity above documented limit.","commercial;premium"
"G091","accessibility","Are accessible toilets routes refuges and parking verified?","No floor-specific accessibility matrix.","No floor-specific accessibility matrix.","MISSING","P0","The buyer cannot evaluate compliance or inclusive operation.","accessibility.features","Current accessibility audit and plan.","Accessibility officer","Annual and after works","Accessibility drawer","Show Not verified and exact evidence checklist.","Route from arrival to workspace and amenities is testable without barriers.","commercial;premium;map"
"G092","resilience","What emergency procedures and business-continuity facilities exist?","No selected one-click pack.","No selected one-click pack.","MISSING","P1","Corporate risk review cannot progress.","resilience.emergency_pack","Current emergency plan with public-safe summary.","Building manager and security","Annual and after drill","Resilience drawer","Expose public-safe facts and controlled document request.","Summary includes evacuation assembly communications backup and last drill date.","commercial;premium"
"G093","esg","What certified sustainability rating does the completed building hold?","Sustainability claims are not fact-level verified on selected surface; final certificate status is unclear.","Sustainability claims are not fact-level verified on selected surface; final certificate status is unclear.","MISSING","P1","Corporate ESG claims may rely on a target rather than a certificate.","esg.certifications","Final certificate from issuing body with scope score and date.","Owner ESG manager","On certification event","ESG drawer","Label target design and final certification distinctly.","Certificate issuer scheme version score scope and link are shown.","commercial;premium"
"G094","esg","What is measured operational energy intensity?","No measured selected-building KPI.","No measured selected-building KPI.","MISSING","P1","Buyer cannot estimate emissions or verify performance.","esg.energy_intensity","Metered annual data normalized by documented area and occupancy.","Property manager and ESG manager","Annual with quarterly provisional update","ESG performance drawer","Show Not yet measured for new building rather than a design claim.","KPI gives period numerator denominator boundary and assurance state.","commercial;premium"
"G095","esg","What renewable electricity or procurement options exist?","Not floor-specific.","Not floor-specific.","MISSING","P2","Corporate renewable-energy targets may not be met.","esg.renewable_energy","Utility contracts owner policy and on-site generation records.","Owner ESG manager","Annual and on contract change","ESG drawer","Show Unknown and request procurement options.","On-site off-site certificates and tenant choice are separated.","commercial;premium"
"G096","esg","Can the tenant receive submetered data for ESG reporting?","No meter and export answer.","No meter and export answer.","MISSING","P1","Tenant may not meet reporting obligations.","esg.tenant_data_access","Metering design privacy policy and sample report.","Property manager","On reporting-service change","ESG and metering drawer","Show Not confirmed and request sample.","Granularity cadence format history and access rights are explicit.","commercial;premium;privacy"
"G097","esg","What indoor air water waste and wellness programs are operational?","No verified operational program bundle.","No verified operational program bundle.","MISSING","P2","Employee experience claims remain marketing-only.","esg.operational_programs","Current facility policies audits and contracts.","Property manager","Annual","ESG and wellbeing drawer","Label each program verified planned or absent.","Every program has owner scope evidence date and performance metric.","commercial;premium"
"G098","esg","What embodied-carbon or materials evidence is available?","Not in one-click floor context.","Not in one-click floor context.","MISSING","P2","Corporate reporting and fit-out standards cannot be aligned.","esg.embodied_carbon","LCA EPD schedule and construction records.","Owner ESG manager and contractor","On final report revision","Controlled data-room request","Show unavailable rather than generic green language.","Request returns named documents scope life-cycle stages and revision.","commercial;premium"
"G099","location","How long is the walk from the correct lobby to the nearest heavy-rail station?","Area tool has one project marker and prose distances; no lobby-to-platform route or verified duration.","Area tool has one project marker; the most decision-relevant rail route is not surfaced in the west-facing caption.","MISSING","P0","Foreign users cannot judge a daily commute.","mobility.rail_routes","Routed entrance-to-platform journey with source time and accessibility.","Mobility data steward","Monthly and on network change","Commute map mode","Show straight-line distance as such; never label it walk time.","One tap opens route steps distance typical time accessibility and source date.","commercial;residential;premium;map"
"G100","location","Which current rail bus and light-rail services are operating now?","Map has no transit markers filters or service layer.","Map has no transit markers filters or service layer.","MISSING","P0","Buyer may confuse planned infrastructure with operating service.","mobility.current_services","Official operator schedules and GTFS where licensed.","Mobility data steward","Daily","Commute map mode","Separate operating disrupted and planned services.","Only services active on selected date appear under Current.","commercial;residential;premium;map"
"G101","location","Which future transit projects are planned and when?","No sourced current-versus-future layer.","No sourced current-versus-future layer.","MISSING","P1","Speculative future access may be treated as present value.","mobility.future_projects","Official planning authority status and milestone evidence.","Mobility data steward","Monthly","Future transport layer","Show status confidence and date; never guarantee opening.","Each project has approved stage expected range source and caveat.","commercial;residential;premium;map"
"G102","location","What is the typical peak travel time by car from key employee origins?","No traffic ranges or origin scenarios.","No traffic ranges or origin scenarios.","MISSING","P1","Recruitment and punctuality impacts are invisible.","mobility.peak_drive_times","Routing-provider sampled ranges with defined weekdays and hours.","Mobility data steward","Monthly","Commute scenario tool","Ask buyer origin and show range not single promise.","Result includes origin destination time window percentile date and provider.","commercial;premium;map"
"G103","location","How variable is traffic on a bad day?","No variability or percentile answer.","No variability or percentile answer.","MISSING","P1","Average time hides operational risk.","mobility.drive_time_variability","Historical routed travel samples or authoritative traffic data.","Mobility data steward","Monthly","Commute scenario tool","Show insufficient evidence if sample is unavailable.","Median and high-percentile ranges use stated sample window.","commercial;premium;map"
"G104","location","How long is the trip to Ben Gurion Airport by car and public transport?","No one-click airport journey.","No one-click airport journey.","MISSING","P1","International teams cannot assess business-travel friction.","mobility.airport_routes","Current routed itineraries from verified lobby.","Mobility data steward","Monthly","Airport shortcut in commute mode","Show live or dated route ranges and transfer count.","Car transit and accessible options are comparable with timestamps.","commercial;premium;map"
"G105","location","Where are employee bicycle routes parking showers and lockers?","No cycling-facility journey.","No cycling-facility journey.","MISSING","P1","Active commute support is unknown.","mobility.cycling_facilities","Municipal route data plus landlord amenity schedule.","Building manager and mobility steward","Quarterly","Cycling map mode","Separate public route from building facility verification.","Route entrance rack count shower locker access and hours are shown.","commercial;premium;map"
"G106","amenities","What can employees reach for lunch within five and ten minutes?","Area map has only one project marker and no amenity pins.","Area map has only one project marker and no amenity pins.","MISSING","P1","Daily employee experience cannot be judged.","places.food","Current place dataset with routed walk times and open status.","Local content data steward","Monthly","Daily life map mode","Show sourced places and never fabricate exact tenant mix.","Filters show category route time hours price band and last checked date.","commercial;residential;premium;map"
"G107","amenities","Which cafés groceries pharmacies gyms and medical services are nearby?","No category markers or filters.","No category markers or filters.","MISSING","P1","Foreign decision makers cannot understand the neighborhood.","places.daily_services","Current place records with coordinates category and verification.","Local content data steward","Monthly","Daily life map mode","Show No verified result separately from none exists.","Every category is one tap and routes from the correct lobby.","commercial;residential;premium;map"
"G108","amenities","Which hotels and conference venues can host visitors?","No business-travel layer.","No business-travel layer.","MISSING","P2","Client and executive visit logistics remain unknown.","places.business_hospitality","Verified venue dataset with routed travel.","Local content data steward","Quarterly","Business ecosystem map mode","Offer a sourced shortlist not endorsements.","Venue cards show route time capacity or service type source and checked date.","commercial;premium;map"
"G109","amenities","What amenities are inside the building and are they operational?","Selected floor does not expose a verified operational amenity inventory.","Owner materials describe retail lifestyle concepts but current operational status is not tied to selected floor.","MISSING","P1","Planned amenities may be mistaken for open services.","building.amenities","Building manager inventory leases and opening status.","Property manager","Monthly","Building amenities drawer","Label planned contracted fitting out open or closed.","Each amenity has location access eligibility hours and verified date.","commercial;premium"
"G110","ecosystem","Which major companies investors universities and tech hubs are nearby?","No sourced business ecosystem layer.","No sourced business ecosystem layer.","MISSING","P2","Strategic location value is hard to understand.","places.business_ecosystem","Current organization locations from authoritative or first-party sources.","Research editor","Quarterly","Business ecosystem map mode","Label presence source and date; avoid implying partnership.","Each card states why relevant route time and evidence.","commercial;premium;map"
"G111","location","What is the immediate area like at night weekends and during construction?","Synthetic map and long prose do not provide a verified time-based street context.","Synthetic map and long prose do not provide a verified time-based street context.","MISSING","P1","Safety noise and employee experience risks are hidden.","area.temporal_context","Dated field observations official construction notices and public-safety data where lawful.","Local research editor","Quarterly","Area risks and visit planner","State evidence limits and invite an escorted site visit.","Context distinguishes observation official data and inference with dates.","commercial;residential;premium;map"
"G112","market","What comparable office rents support the asking price?","No floor-level asking price or market-comps module.","No floor-level asking price or market-comps module.","MISSING","P0","Buyer cannot test pricing reasonableness.","market.rent_comps","Dated comparable transactions or listings with source rights and adjustments.","Market research analyst","Monthly","Market and comps drawer","Show no verified comps rather than an unsupported market range.","Each comp includes asset date area basis condition incentives source and adjustment notes.","commercial;premium"
"G113","market","How do nearby options compare on effective total cost?","Compare tool uses floor rooms sqm balcony status rather than office costs.","Compare tool uses floor rooms sqm balcony status rather than office costs.","INVENTED","P0","The comparison feature cannot support an office decision.","comparison.office_cost_fields","Verified comparable base rent load factor fees taxes parking fit-out and incentives.","Product and market data teams","Monthly or quote expiry","Office compare tool","Hide residential rows and mark incomplete totals.","Comparison aligns area basis currency date and missing states across buildings.","commercial;premium"
"G114","market","What vacancy absorption and pipeline risks affect this submarket?","No sourced market-risk module.","No sourced market-risk module.","MISSING","P1","Buyer lacks negotiation and future-supply context.","market.submarket_metrics","Current reputable market reports and planning pipeline.","Market research analyst","Quarterly","Market context drawer","Show sourced ranges and methodology not a single unattributed number.","Metric period geography definition source and confidence are visible.","commercial;premium"
"G115","market","What recent transactions are actually comparable to this floor?","No transaction-level selected-floor matching.","No transaction-level selected-floor matching.","MISSING","P1","Headline averages can mislead.","market.matched_comps","Licensed transaction dataset and documented matching rules.","Market research analyst","Monthly","Comps tool","State data-access limitations and invite a verified broker pack.","User can inspect why each comp matches and what adjustment was made.","commercial;premium"
"G116","lease","What lease term break option and renewal structure are offered?","Not in selected-floor path.","Not in selected-floor path.","MISSING","P0","Strategic flexibility cannot be assessed.","lease.term_structure","Dated heads of terms.","Leasing counsel","Per offer","Deal terms drawer","Show Negotiable and request term sheet rather than a default.","Term commencement break notice conditions renewal and expiry are structured.","commercial;premium"
"G117","lease","Who pays for repairs insurance reinstatement and common-area changes?","No lease responsibility matrix.","No lease responsibility matrix.","MISSING","P1","Lifecycle cost and exit liability are unknown.","lease.responsibility_matrix","Draft lease or landlord standard clauses.","Leasing counsel","Per document revision","Legal terms drawer","Provide summary as non-legal guidance with source clause links.","Every responsibility maps landlord tenant shared or negotiable and cites clause.","commercial;premium"
"G118","lease","What assignment subletting expansion and contraction rights exist?","Not shown.","Not shown.","MISSING","P1","Startup growth or downsizing flexibility is unknown.","lease.flexibility_rights","Heads of terms and draft lease.","Leasing counsel","Per offer","Deal terms drawer","Show Not quoted and add exact items to RFP.","Each right has consent conditions fees timing and scope.","commercial;premium"
"G119","foreign company","Can a US company lease directly in Israel?","Long-form guidance may discuss foreign companies but no selected-floor decision path or legal status.","Long-form guidance may discuss foreign companies but no selected-floor decision path or legal status.","MISSING","P0","Buyer may misunderstand entity tax banking and guarantee prerequisites.","transaction.foreign_lessee_options","Current Israeli legal and tax counsel memo.","Independent legal and tax counsel","On law change; review annually","Foreign buyer transaction guide","Provide sourced general guidance and one-click professional referral request; no legal conclusion.","Guide separates general information from deal-specific advice and shows review date.","commercial;premium"
"G120","foreign company","Must we establish an Israeli entity before signing?","No transaction-specific one-click answer.","No transaction-specific one-click answer.","MISSING","P0","Corporate setup could delay or derail the lease.","transaction.entity_requirement","Landlord policy plus current counsel advice.","Leasing counsel and buyer counsel","Per deal and law change","Foreign company guide","Answer landlord policy separately from legal advice.","User sees direct-foreign contracting policy required documents and advice disclaimer.","commercial;premium"
"G121","foreign company","What Israeli taxes withholding VAT and registration issues apply?","No selected-deal calculation or verified advice.","No selected-deal calculation or verified advice.","MISSING","P0","Budget and compliance may be wrong.","transaction.tax_considerations","Current tax-adviser memo and deal facts.","Independent tax counsel","On law change","Tax guide and RFP","Show issue checklist not definitive tax advice.","Each issue has jurisdiction applicability trigger review date and adviser-needed flag.","commercial;premium"
"G122","foreign company","What KYC corporate and beneficial-owner documents will the landlord require?","No document checklist in contact flow.","No document checklist in contact flow.","MISSING","P1","Procurement can stall after a lead is generated.","transaction.kyc_checklist","Current landlord onboarding policy and privacy notice.","Leasing counsel and privacy officer","On policy change","Deal readiness checklist","Allow preview before upload and request only necessary documents.","Checklist identifies purpose retention security and optional versus required documents.","commercial;premium;privacy"
"G123","legal","Which documents can I inspect before making an offer?","No selected-floor data room index.","No selected-floor data room index.","MISSING","P0","Buyer cannot perform technical and legal diligence.","documents.data_room_index","Owner-approved versioned document inventory.","Transaction coordinator","Real time","Data room drawer","Show available requestable restricted and missing states.","Each document has title scope revision owner access rule and request status.","commercial;premium"
"G124","legal","Can I submit one structured RFP covering all unanswered questions?","Contact form has free-text message but no question IDs floor pack or response tracking.","Contact form has free-text message but no question IDs floor pack or response tracking.","MISSING","P0","The buyer must repeat context and cannot verify completeness.","inquiry.question_ids","Structured selected gaps project floor buyer brief and attachments.","Commercial sales operations","Per submission","Question basket and RFP","Persist chosen question IDs and return case ID SLA and recipient category.","A 20-question test RFP arrives once with every field and can be status-tracked.","commercial;premium;leads"
"G125","risk","What planning construction noise or roadworks could affect occupancy?","No one-click risk register tied to map and selected floor.","No one-click risk register tied to map and selected floor.","MISSING","P1","Buyer may discover material disruption after committing.","risk.local_projects","Official planning and works notices with impact assessment.","Planning and local research editor","Monthly","Risks map mode","Show sourced current and future risks with confidence.","Every risk has geography period status source and mitigation question.","commercial;residential;premium;map"
"G126","risk","Is the site exposed to flood heat wind pollution or other environmental risks?","No selected-floor environmental risk summary.","No selected-floor environmental risk summary.","MISSING","P1","Business continuity and employee health review are incomplete.","risk.environmental","Authoritative hazard datasets and engineering studies.","Risk analyst","Annual and after material event","Risk drawer","Distinguish screened risk from site-specific assessment.","Every hazard shows dataset date resolution limitation and recommended diligence.","commercial;residential;premium"
"G127","risk","Are there title litigation permit or enforcement issues?","No project legal-risk status.","No project legal-risk status.","MISSING","P0","Transaction may carry undisclosed legal impediments.","risk.legal","Current counsel confirmation and public record review.","Owner legal counsel","Per deal and quarterly","Controlled legal data room","Do not imply none; show Not provided and request counsel pack.","Clear no-known-issue statement requires named counsel date scope and limitations.","commercial;premium"
"G128","risk","Which statements are contradicted across source versions?","Selected UI silently presents one floor count area and status.","Selected UI silently presents 44 floors while owner and statutory sources conflict on floors zones addresses areas and delivery.","CONTRADICTED","P0","Buyer sees false certainty.","provenance.conflicts","Automated and editorial conflict registry with source versions.","Product data steward","On ingestion and weekly review","Conflict badge and evidence drawer","Retain all values; block decisive display until resolved.","Known conflicts appear beside affected fact and export in data room.","commercial;residential;premium;3D"
"G129","selected-floor UX","Can I see model floor identity status orientation cost and next actions in one mobile screen?","Selected surface starts below residual hero space; lower tools reach or exceed the viewport edge; beam caption overlays its map.","Selected surface starts below residual hero space; lower tools reach or exceed the viewport edge; beam caption overlays its map.","VERIFIED","P0","The mobile moment of truth is visually broken and incomplete.","ux.mobile_decision_surface","Real-device screenshots and geometry assertions at supported widths.","UX and frontend owners","Every UI release","Selected-floor decision surface","Keep normal page scroll; no nested scroll; prioritize identity status and four doors.","At 375x812 the full decision surface is readable without clipped overlap or internal scrolling.","commercial;residential;premium;3D"
"G130","selected-floor UX","Does the beam scene accurately show selected-space orientation?","Map scroll width exceeds client width and caption overlaps; all floors use west despite empty orientation config.","Caption overlaps map; all floors use west despite empty orientation config.","INVENTED","P0","A flagship orientation claim is unusable and false.","ux.orientation_scene","Verified exposures plus visual regression evidence.","Project modeler and frontend owner","Every data or UI release","Permanent mini compass and beam scene","Render neutral unknown state until exposure data exists.","No overflow at supported widths and the highlighted exposure matches source plan.","commercial;residential;premium;3D"
"G131","selected-floor UX","Can I choose any floor accurately without overlapping controls?","Seventy-five 38 by 38 hotspots are spaced roughly 4.5 to 6.1 pixels vertically.","Forty-four 38 by 38 hotspots are spaced roughly 9.5 to 11.8 pixels vertically.","VERIFIED","P0","Most taps resolve to a neighboring floor.","ux.floor_selection_method","Calibrated surface hit testing plus accessible native floor picker.","3D engine owner","Every model release","Model tap and native floor selector","Show only selected label and zone markers; never stack full-size buttons.","Automated and real-device tests achieve exact selection for every floor.","commercial;residential;premium;3D"
"G132","tools","Does the Plan door provide a usable floor plan?","It opens full screen but only displays a missing-approved-plan notice.","It opens full screen but only displays a missing-approved-plan notice.","VERIFIED","P0","A prominent door leads to a dead end.","tool.plan.asset","Verified floor-specific plan document and metadata.","Owner architect","On document revision","Plan door","Rename to Request verified floor pack when no asset exists.","Door label predicts outcome and no empty viewer opens.","commercial;residential;premium;3D"
"G133","tools","Does the View door show an actual window view?","It shows an illustrative synthetic map-based view not a verified window capture.","It shows an illustrative synthetic map-based view not a verified window capture.","SOURCED_ESTIMATE","P1","User may mistake illustration for reality.","tool.view.asset_type","Actual panorama or explicit simulation metadata.","Owner marketing and product","On asset revision","View door","Call it Illustrative urban context unless actual evidence exists.","Actual and simulated views have unmistakable labels in all languages.","commercial;residential;premium;3D"
"G134","tools","Does the Tour door represent an office interior?","It renders a residential schematic with living dining kitchen and bedrooms.","It renders a residential schematic with living dining kitchen and bedrooms.","INVENTED","P0","The tool provides false and irrelevant information.","tool.tour.commercial_model","Verified office test fit or true captured tour.","Workplace architect and product","On asset revision","Tour door","Hide or replace with Request office test fit.","No commercial asset can load residential room taxonomy.","commercial;premium;3D"
"G135","tools","Does the Studio help design this office?","It loads a generic residential designer.","It loads a generic residential apartment by the sea designer.","INVENTED","P0","Buyer cannot explore the requested decision and trust falls.","tool.studio.mode","Asset-type-specific workspace planner with verified geometry.","Product owner","Every tool release","Studio door","Commercial mode only or Request a test fit.","Asset type gates tool content server-side and client-side.","commercial;residential;premium;3D"
"G136","tools","Does Compare use commercial decision criteria?","It compares floor 0 rooms area balcony and status.","It compares floor 0 rooms area balcony and status.","INVENTED","P0","A core shortlist tool is unusable for office procurement.","comparison.schema","Asset-type adapter with commercial area cost delivery fit-out resilience and commute fields.","Product owner","Every schema release","Compare tool","Suppress unsupported rows and preserve unknown states.","Commercial compare contains no rooms bedroom or balcony fields unless explicitly relevant.","commercial;residential;premium;3D"
"G137","tools","Can every full-screen tool close in one tap and restore context?","Observed tools close in one tap and generally restore focus; this is the strongest current interaction pattern.","Observed tools close in one tap and generally restore focus; one mobile run showed a non-deterministic promise error requiring reproduction.","VERIFIED","P1","Regressions could trap users or lose the selected floor.","ux.tool_dialog_contract","Cross-browser real-device interaction tests and focus assertions.","Frontend QA","Every release","All heavy tools","Keep body-level dialog explicit edges focus return and history marker.","Close button Escape and browser Back restore selected floor and trigger without nested scroll.","commercial;residential;premium;3D"
"G138","language","Is commercial terminology correct in Hebrew English French Russian and Arabic?","Selected surface is translated but uses home apartment rooms and balcony semantics.","Selected surface is translated but uses home apartment rooms and balcony semantics.","INVENTED","P0","Translation amplifies the wrong product meaning.","i18n.commercial_terms","Native professional translation and asset-type message catalog.","Localization owner and commercial editor","Every copy release","All selected-floor surfaces","Use commercial catalog selected by asset_type; unknown values stay neutral.","Language QA finds zero residential-only terms on commercial flows in all five locales.","commercial;residential;premium;3D"
"G139","language","Is every page element in the selected language?","Foreign pages retain Hebrew header text and roughly one thousand Hebrew characters; generic footer language does not match all locales.","Foreign pages retain Hebrew header text and hundreds of Hebrew characters; generic footer language does not match all locales.","VERIFIED","P1","A foreign buyer sees an incomplete localization.","i18n.page_completeness","Rendered text inventory and native review.","Localization owner","Every release","Whole project page","Show no fallback-language strings except proper nouns marked as such.","Automated script and native reviewer approve each locale at mobile and desktop.","commercial;residential;premium"
"G140","language","Do RTL and LTR layouts preserve meaning and geometry?","Beam and map layout breaks at mobile; language direction itself is set correctly.","Beam and map layout breaks at mobile; language direction itself is set correctly.","VERIFIED","P0","Content becomes unreadable even when translated.","i18n.layout_acceptance","Visual regression and real-device tests for RTL and LTR.","Frontend QA","Every UI release","Selected floor map dialogs and forms","Use logical properties where safe and explicit edge properties for fixed dialogs.","No overlap clipping reordered compass or inaccessible close control in five locales.","commercial;residential;premium;3D"
"G141","language","Does structured data declare the actual page language?","JSON-LD inLanguage is he-IL for every locale.","JSON-LD inLanguage is he-IL for every locale.","INVENTED","P1","Search engines receive contradictory localization signals.","seo.schema_in_language","Locale-aware schema generation test.","SEO and WordPress owners","Every release","Page metadata","Generate language per page and eliminate duplicate contradictory schema.","Rendered JSON-LD language equals HTML lang for all ten project-locale checks.","commercial;residential;premium;SEO"
"G142","lead","Can I ask a precise question about the selected floor without retyping context?","Contact includes project and residential unit facts but not a selectable issue list or verified floor document IDs.","Contact includes project and residential unit facts but not a selectable issue list or verified floor document IDs.","MISSING","P0","Lead quality is low and the buyer repeats work.","inquiry.context_payload","Project floor suite selected gaps tools and buyer brief.","Product and sales operations","Every form release","Ask this item and question basket","Prefill immutable context and let buyer edit only their needs.","Captured lead contains exact selected IDs and every requested question.","commercial;residential;premium;leads"
"G143","lead","Who receives my enquiry?","Both projects are unclaimed with no owner user; routing falls back to site admin.","Both projects are unclaimed with no owner user; routing falls back to site admin.","VERIFIED","P0","The developer or landlord may never receive a high-intent lead.","routing.recipient_policy","Authorized project route configuration and tested fallback.","Commercial sales operations","Real time; alert on missing route","Contact confirmation","Show recipient category not private address; commercial desk fallback must be staffed.","Synthetic test proves delivery acknowledgment and escalation for each project.","commercial;residential;premium;leads"
"G144","lead","What response time should I expect?","Generic success has no SLA.","Generic success has no SLA.","MISSING","P1","Buyer cannot plan next steps and may submit repeatedly.","routing.response_sla","Published staffed support policy.","Commercial sales operations","Quarterly","Submission confirmation","Provide honest SLA by request type and language.","Case confirmation displays SLA timezone escalation and status link.","commercial;residential;premium;leads"
"G145","lead","Do I receive a case ID and status?","UI shows generic success or failure only; route_status is not surfaced.","UI shows generic success or failure only; route_status is not surfaced.","MISSING","P0","Neither buyer nor operations can reconcile follow-up.","inquiry.case_id","CRM or lead service response with auditable ID.","Sales operations and engineering","Every submission","Submission confirmation","Return case ID even on fallback route and never expose internal user IDs.","Buyer can retrieve acknowledgement and operations can trace the same case.","commercial;residential;premium;leads"
