"fact_id","category","field","buyer_question","status","value","unit","scope","as_of","source_title","source_url","source_type","accessed","confidence","contradiction_or_caveat","answer_owner","required_document_or_api","ux_requirement"
"TH2-060","hvac","server_room_cooling","Is 24/7 supplemental cooling allowed?","missing","Not publicly verified","kW","Tenant server/IT rooms","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","Heat rejection, condenser location, redundancy and metering unknown.","Owner MEP engineer and operator","Tenant supplemental-cooling criteria and capacity allocation","Capture IT load in qualification flow."
"TH2-061","hvac","air_quality","What outside air, filtration and IAQ performance is provided?","missing","Not publicly verified","L/s/person, ACH or filter rating","Base building/floor","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","LEED-target language is not an IAQ specification.","Owner MEP/sustainability team","Ventilation/filtration spec, IAQ plan and commissioning report","Show quantitative criteria and certification scope."
"TH2-062","telecom","carriers","Which fiber carriers are in the building?","missing","No verified carrier roster","","ToHa2 base building","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","No MMR, riser, route diversity, lead time or cross-connect price is public.","Building operator and carriers","Carrier LOAs, MMR/riser diagrams, rate card and lead-time table","Filter by carrier and show order SLA."
"TH2-063","telecom","fiber_diversity","Are two physically diverse fiber routes available?","missing","Not publicly verified","route count","Tenant to external network","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Two carrier names can share one duct; diversity requires route evidence.","Building operator, MEP/low-voltage consultant and carriers","Georeferenced diverse-route drawing and carrier confirmation letters","Show verified physical separation, not number of logos."
"TH2-064","vertical_transport","elevator_system","What elevator system is planned?","owner_claim","70 elevators and 4 escalators; three vertical sections; double-deck shuttles; 36 MRL; two large freight elevators","","Project system overview","April 2026","Electra Times April 2026","https://digitaler.cld.bz/electra-times3/25/","project supplier publication","2026-08-10","medium","Older Electra item says 60; final as-built schedule and commissioning not public.","Owner operator and Electra/OTIS","Final elevator schedule and commissioning report","Label latest supplier figure with revision date."
"TH2-065","vertical_transport","floor_bank","Which elevator bank serves my floor and where do I transfer?","missing","Not publicly verified","","Floor-specific journey","2026-08-10","Electra Times April 2026","https://digitaler.cld.bz/electra-times3/25/","project supplier publication","2026-08-10","low","System overview does not disclose floor-bank matrix or access rules.","Building operator and Electra/OTIS","Final floor-bank matrix, wayfinding and access-control logic","Animate actual journey and transfer count on floor click."
"TH2-066","vertical_transport","wait_time","What will peak elevator waiting time be?","missing","Not publicly verified","seconds","Floor/peak population scenario","2026-08-10","Electra Times April 2026","https://digitaler.cld.bz/electra-times3/25/","project supplier publication","2026-08-10","low","Marketing worker count is not a vertical-transport study.","Owner operator and vertical-transport consultant","Traffic study, handling capacity assumptions and commissioning measurements","Show design scenario, not a promise unless SLA exists."
"TH2-067","vertical_transport","freight_elevator","Can we move racks and furniture to the selected floor?","owner_claim","Two large high-speed freight elevators described","","Project system overview","April 2026","Electra Times April 2026","https://digitaler.cld.bz/electra-times3/25/","project supplier publication","2026-08-10","medium","Dimensions, capacity, route, booking and floor service not public.","Building operator and Electra/OTIS","Final elevator schedule, car/door dimensions, floor service and booking manual","Show size, route, hours and booking CTA."
"TH2-068","life_safety","oeo","Can elevators support emergency evacuation?","owner_claim","OTIS OEO system integrated with fire detection is described","","Project elevator system","April 2026","Electra Times April 2026","https://digitaler.cld.bz/electra-times3/25/","project supplier publication","2026-08-10","medium","Supplier claim is not final approved life-safety strategy or tenant procedure.","Owner fire consultant, operator and Electra/OTIS","Approved fire strategy, OEO sequence and commissioning/authority approval","Explain emergency journey only from approved procedure."
"TH2-069","life_safety","protected_spaces","Where are protected spaces/shelters and how many people do they serve?","missing","Not publicly verified","people and meters","Floor-specific","2026-08-10","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","low","Critical in Israel; broad planning compliance is insufficient.","Owner fire/protection consultant and operator","Approved protected-space schedule, capacity, routes and operating procedure","Show distance/capacity on every floor card."
"TH2-070","parking","statutory_public_minimum","What parking does the plan require?","verified","At least 900 public spaces in addition to standard-required parking","spaces","Plan-wide statutory scheme","Statutory plan","Statutory plan regulations","https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050425.pdf","official planning document","2026-08-10","high","Not proof of delivered ToHa2 stalls, total stalls or tenant availability.","Owner project manager, municipality and parking operator","As-built parking schedule and allocation matrix","Label statutory plan-wide minimum only."
"TH2-071","parking","gav_page_950","Does ToHa2 have 950 parking stalls?","contradicted","Do not attribute 950 to ToHa2","spaces","Likely ToHa1/complex content block","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","high","The same block cites 55,000 sqm and four parking floors, indicating ToHa1 scope contamination.","Gav-Yam content owner and project manager","Corrected scoped KPI dataset and as-built parking schedule","Remove contaminated block until scope is proven."
"TH2-072","parking","complex_parking_claim","How many spaces are claimed across both towers?","owner_claim","Approximately 1,500","spaces","ToHa1 and ToHa2 combined","2024 article","Gav-Yam Google transaction article","https://gav-yam.co.il/en/the-largest-rental-deal-in-israel-google-will-rent-a-third-of-the-toha2-tower-in-tel-aviv-for-115-million-shekels-per-year/","owner transaction article","2026-08-10","medium","Not current inventory and Google reserves several hundred.","Joint owner and parking operator","Current as-built complex schedule and allocation matrix","Do not show as ToHa2 available parking."
"TH2-073","parking","tenant_parking_availability","How many spaces can my company lease?","missing","Not publicly verified","spaces","Specific transaction","2026-08-10","Gav-Yam Google transaction article","https://gav-yam.co.il/en/the-largest-rental-deal-in-israel-google-will-rent-a-third-of-the-toha2-tower-in-tel-aviv-for-115-million-shekels-per-year/","owner transaction article","2026-08-10","low","Public and plan-wide totals do not establish residual tenant inventory.","Joint leasing team and parking operator","Current allocation matrix, offer and wait-list rules","Show offered ratio and exact quantity in term sheet."
"TH2-074","parking","ev_accessible_bicycle","How many EV, accessible, bicycle and motorcycle spaces exist?","missing","Not publicly verified","spaces","Final ToHa2 operation","2026-08-10","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","low","Bike rooms are contemplated in upper basements, but final counts/access are absent.","Owner project manager and parking/operator team","As-built parking/bicycle schedule, charger capacity and accessibility plan","Filter by mode and show availability, access and cost."
"TH2-075","logistics","loading_dock","How do deliveries and moves work?","missing","Basement loading/operations planned; final details not public","","Loading and courier journey","2026-08-10","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","low","No dock count, clearance, hours, route or booking SLA.","Owner logistics consultant and operator","Approved logistics plan, dock dimensions, freight route and move-in manual","Provide booking flow and dimensional fit check."
"TH2-076","security","access_control","Can employees and visitors access the building 24/7?","missing","Not publicly verified","","Base building and tenant zones","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","No staffing, badge, visitor, CCTV or after-hours SLA is public.","Owner security consultant and building operator","Security CONOPS, staffing SLA, access-control/visitor API spec and privacy policy","Show hours, visitor process and integration capability."
"TH2-077","accessibility","floor_journey","Is the route from transit/parking to my floor fully accessible?","missing","Not publicly verified","","Continuous origin-to-desk journey","2026-08-10","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","low","Design compliance does not prove final step-free route through security/elevator transfers.","Owner accessibility consultant and operator","Final accessibility certificate, route plan and lift/control/WC/refuge schedules","Offer step-free routing and disclose outages."
"TH2-078","sustainability","leed_claim","Is ToHa2 LEED Platinum certified?","owner_claim","Owner says the project meets LEED Platinum standards","","Exact certification scope not disclosed","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","medium","No public final GBCI certificate, scorecard or exact project ID was located; directory absence is not conclusive.","Owner sustainability lead and LEED AP","Final GBCI certificate, project ID, rating system/version, date, scope and scorecard","Use designed-to-meet wording until final exact-scope certificate."
"TH2-079","sustainability","israel_5281","What Israel 5281 certificate does ToHa2 hold?","missing","No obvious exact-scope 80-floor ToHa2 record found by address/block searches","","ToHa2 exact scope","2026-08-10","Israel green-buildings API","https://data.gov.il/api/3/action/datastore_search?resource_id=7f467a30-58cd-44b5-86f0-d570cc7d25ad","official government open-data API","2026-08-10","medium","Absence may reflect construction stage, naming, confidentiality or dataset lag; not proof of non-compliance.","Owner sustainability lead and authorized laboratory","SI 5281 Stage A/B certificates with exact building scope","Show certificate number, stage and scope only when supplied."
"TH2-080","sustainability","toha1_contamination","Can ToHa1 green-performance facts be used for ToHa2?","contradicted","No","","ToHa1 versus ToHa2","2026-08-10","Israel Green Building Council ToHa tour","https://ilgbc.org/course/%D7%A1%D7%99%D7%95%D7%A8-%D7%9C%D7%9E%D7%92%D7%93%D7%9C-%D7%AA%D7%95%D7%A6%D7%A8%D7%AA-%D7%94%D7%90%D7%A8%D7%A5-toha-2/","industry council page","2026-08-10","high","Tour facts concern completed ToHa1; Gav ToHa2 page also mixes a 55,000 sqm block likely from ToHa1.","Gav-Yam content owner and sustainability lead","Building-scoped KPI and certificate dataset","Bind every sustainability fact to building_id and certificate scope."
"TH2-081","transit","gtfs_snapshot","How fresh was the official transport dataset used?","verified","Static GTFS directory file updated 2026-08-09 20:13","timestamp","National transit feed","2026-08-09","Ministry of Transport GTFS directory","https://gtfs.mot.gov.il/gtfsfiles/","official transport data","2026-08-10","high","Static schedule feed is not live disruption or capacity data.","Ministry of Transport; website data operator","Nightly GTFS ingest plus approved real-time feed","Show feed timestamp and disruption source."
"TH2-082","transit","nearest_bus_stop","How close is the nearest scheduled bus stop point?","derived","Approximately 45 straight-line","m","From municipal HaShalom 1 point to stop ID 13056 Yigal Alon/HaShalom","2026-08-10 service snapshot","Ministry of Transport GTFS directory","https://gtfs.mot.gov.il/gtfsfiles/","official transport data plus geospatial calculation","2026-08-10","high","Not entrance-to-stop walking distance, time, crossing or accessible route.","Website mapping/data owner and owner project manager","Nightly GTFS plus verified entrance and pedestrian routing API","Label straight-line until verified walking route exists."
"TH2-083","transit","hashalom_rail_distance","How close is Tel Aviv HaShalom rail stop?","derived","Approximately 209 straight-line","m","From municipal HaShalom 1 point to GTFS stop ID 37350","2026-08-10 service snapshot","Ministry of Transport GTFS directory","https://gtfs.mot.gov.il/gtfsfiles/","official transport data plus geospatial calculation","2026-08-10","high","Station entrance, crossings and step-free route may make walking longer.","Website mapping/data owner and owner project manager","Verified entrance-to-entrance pedestrian route and live rail API","Show accessible and standard walking routes separately."
"TH2-084","transit","shaul_redline_distance","How close is the operating Red Line?","derived","Approximately 512 straight-line","m","From municipal HaShalom 1 point to Shaul HaMelech stop points","2026-08-10 service snapshot","NTA Shaul HaMelech station","https://www.nta.co.il/en/light-rail/red-line/shaul-hamelekh/","official transport page plus geospatial calculation","2026-08-10","high","Not entrance-to-entrance walking route; station entrances differ in accessibility.","Website mapping/data owner","Verified entrance routing and NTA operational feed","Route to correct station entrance and label accessibility."
"TH2-085","transit","nearby_bus_routes","Which routes serve the five nearest stop points?","derived","7;8;23;36;37;46;51;54;56;59;62;64;91;116;166;278;472;473;477;478;814","route numbers","Five nearest stop points, 45-211 m straight-line, active calendar 2026-08-10","2026-08-10","Ministry of Transport GTFS directory","https://gtfs.mot.gov.il/gtfsfiles/","official transport data plus query","2026-08-10","high","Does not promise frequency, capacity, future routing, first/last service or accessibility.","Website transport data owner","Nightly GTFS and real-time service API","Generate by day/time and show freshness."
"TH2-086","transit","airport_intercity","Can employees reach the airport and other cities by rail?","verified","GTFS snapshot includes HaShalom rail service on corridors to Ben Gurion Airport, Jerusalem, Haifa, Herzliya and Be'er Sheva","","Scheduled service network from HaShalom","2026-08-10","Israel Railways HaShalom station","https://www.rail.co.il/en/stations/tel-aviv-hashalom","official rail page and GTFS","2026-08-10","medium","Trip, transfer and timetable vary; use official live journey planning.","Israel Railways and website transport data owner","Official live schedule/disruption API","Offer trip-specific journey, not static destination promise."
"TH2-087","transit","future_metro","Is a metro operating at HaShalom?","future","No; an official future metro station is planned in the area","","Future planning context","Planning document current in portal","Official metro planning appendix","https://apps.land.gov.il/IturTabotData/nispachim/telmer/5050583/63_2.pdf","official planning document","2026-08-10","high","Must not be blended with operating rail, bus or Red Line service.","Planning authority/NTA","Current approved schedule and status source","Use Planned badge, source date and no current commute calculation."
"TH2-088","traffic","yigal_alon_peak_speed","What do official road data say near the site?","derived","Segment 507-13629 averages about 10.8/11.1/7.9/7.0 km/h SW at 08:00/09:00/15:00/16:00 and 5.9/5.1/5.25/5.57 km/h NE","km/h","June-2026 weekday hourly monthly means near municipal reference point","June 2026","Tel Aviv June-2026 traffic-speed layer","https://gisn.tel-aviv.gov.il/ArcGIS/rest/services/OpenData/segs_kph_monthly_Jun2026_wm/MapServer/1","official municipal traffic data plus query","2026-08-10","high","Segment monthly mean is not door-to-door travel time or live traffic.","Tel Aviv municipality and website mobility-data owner","Monthly municipal data plus approved live-routing API and verified garage entrance","Show peak/off-peak P50/P90 scenarios and data method."
"TH2-089","traffic","road_access_claim","Does proximity to Ayalon guarantee an easy car commute?","verified","No; nearby official segment means show severe peak congestion risk","","Local road access","June 2026","Tel Aviv traffic-speed query API","https://gisn.tel-aviv.gov.il/ArcGIS/rest/services/OpenData/segs_kph_monthly_Jun2026_wm/MapServer/1/query","official municipal traffic API","2026-08-10","high","Access is geographically strong but travel-time reliability remains route/time dependent.","Website mobility-data owner","Live route API, garage-entry queue data and origin scenarios","Compare car against transit and disclose variability."
"TH2-090","amenities","planned_common_uses","What amenities were contemplated in the approved design?","verified","Restaurant/leisure, gym, auditorium and synagogue uses were contemplated in common/sky-lobby areas","","2021 design program","2021","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","medium","Contemplated uses are not operators, opening dates or tenant entitlements.","Owner asset manager","Executed operator roster, opening schedule, capacities, access and fees","Label planned/contracted/open distinctly."
"TH2-091","amenities","operator_roster","Which ToHa2 amenities will actually open?","missing","No verified operator roster or opening schedule","","ToHa2 operating amenities","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","Marketing categories do not establish lease, hours, capacity or access.","Owner asset manager","Executed operator roster, opening milestones, access policy and service-charge treatment","Show operator, status, hours, access and evidence."
"TH2-092","area_context","azrieli_mall","Is a major retail center nearby?","verified","Azrieli Mall is listed at 132 Menachem Begin Road with an official store directory","","Nearby identity anchor","2026-08-10","Azrieli malls list","https://www.azrielimalls.co.il/malls","official operator page","2026-08-10","high","No verified ToHa2 entrance-to-mall route/time was calculated.","Website POI/mapping owner","Official POI ingest plus verified pedestrian routing","Show entrance-to-entrance route, hours and accessibility."
"TH2-093","area_context","assuta_clinic","What medical care is nearby?","verified","Assuta clinical presence is listed at 96 Yigal Alon","","Nearby identity anchor","2026-08-10","Assuta doctor/clinic page","https://doctors.assuta.co.il/doctor/hrhe-mendlblom-114138?readmore=true","official healthcare provider page","2026-08-10","medium","This does not establish 24/7 emergency department, urgent care, services or hours.","Website POI owner and provider","Official facility directory, services, hours and emergency-status source","Use precise facility type; never label hospital/ER without evidence."
"TH2-094","area_context","business_hotel","Is a business hotel nearby?","verified","Crowne Plaza Tel Aviv City Center lists 136 Menachem Begin Road","","Nearby identity anchor","2026-08-10","IHG Crowne Plaza directions","https://www.ihg.com/crowneplaza/hotels/us/en/tel-aviv/tlvcc/hoteldetail/directions","official hotel page","2026-08-10","high","No verified walk route/time or corporate rate is included.","Website POI/mapping owner and hotel","Official hotel details plus verified routing","Show route, current operation and booking link."
"TH2-095","area_context","toha1_food_garden","What is already operating in the existing ToHa complex?","owner_claim","ToHa1 official site describes restaurant/cafe/garden uses","","Existing ToHa1 complex, not ToHa2","2026-08-10","ToHa existing-building page","https://toha.gav-yam.co.il/toha-building/","owner complex page","2026-08-10","medium","Does not prove ToHa2 amenity, hours, capacity or tenant access.","Gav-Yam complex asset manager","Current operator roster, hours and access rules","Label same-complex and open status; never call it ToHa2 amenity."
"TH2-096","area_context","poi_completeness","Does the area map answer food, grocery, pharmacy, health, hotel, childcare, bank and late-night needs?","missing","No complete verified one-click inventory found","","5/10/15-minute accessible walksheds","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Current vicinity content has no consistent route, distance, source, hours or open/planned state and includes irrelevant entries.","Website POI/data owner","Official POI sources, routing API, opening-hours feed and manual QA","Show what is missing as well as positive pins."
"TH2-097","legal","standard_lease","What legal terms will govern the premises?","missing","No public standard lease/data room","","Specific transaction","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","No public assignment, sublease, change-of-control, casualty, delay, guarantee or reinstatement terms.","Owner counsel and tenant counsel","Standard lease and all exhibits, rights/authority and lender documents","Show document index; gate sensitive files behind NDA."
"TH2-098","fitout","work_letter","What exactly will the landlord deliver?","missing","No public floor-specific work letter","","Selected floor","2026-08-10","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","low","Google shell/core statement does not define another tenant's delivery.","Owner leasing/project/legal team","Landlord work letter, finish schedule, responsibility matrix and handover protocol","Attach to floor card and cost model."
"TH2-099","fitout","fitout_rules","How may our designers and contractors work in the building?","missing","No public fit-out manual","","Tenant design and construction","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Review SLA, permits, contractor rules, logistics, deposits and BIM standards unknown.","Owner project manager and building operator","Tenant fit-out handbook, approval SLA, permit matrix, logistics manual and BIM standard","Provide searchable handbook and requirement checklist."
"TH2-100","ux_governance","floor_data_source","What system should drive a clickable floor?","missing","No public authenticated floor inventory/API","","Website data governance","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","A 3D level geometry is not availability, program or contractual area.","Joint owner product/data owner and leasing operations","CRM/BIM floor API with states, revisions, approver and expiry","Only render selectable when authenticated record exists."
"TH2-101","ux_governance","availability_freshness","How fresh must availability be?","recommended","Maximum 24 hours before automatic expiry","hours","Public floor inventory","2026-08-10","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","audit recommendation","2026-08-10","high","Recommendation, not owner practice; negotiations change faster than quarterly reports.","Joint owner leasing operations and website product owner","CRM webhook/API, approval workflow and audit log","Show verified time and expire stale availability."
"TH2-102","ux_governance","unknown_handling","How should absent facts render?","recommended","Use null plus reason, answer owner and exact requested document; never zero or generic default","","All decision fields","2026-08-10","ToHa2 public-source gap analysis","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","audit recommendation","2026-08-10","high","Required to prevent invented specifications and false certainty.","Website product/data owner","Field-level provenance schema and missing-data workflow","Keep unknown in-place with one-click request."
"TH2-103","leads","floor_context_capture","Will a lead preserve the exact floor and question?","missing","No public evidence of floor-level requirement capture and case tracking","","Buyer inquiry journey","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","Generic forms risk losing floor, technical requirement and document request context.","Joint owner CRM/product owner and leasing operations","Lead-routing map, CRM field schema, SLA, case ID and audit trail","Prefill building, floor, missing field and requested document."
"TH2-104","leads","answer_routing","Who answers commercial, technical and legal questions?","missing","Named functional owners and response SLA not public","","Buyer support","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Amot page leaves general-manager identity/contact blank.","Joint owner asset manager","Published responsibility matrix, CRM routing rules and service SLA","Return case ID, accountable team, due date and status page."
