"field_id","asset_types","type","required","definition","allowed_values","unit","truth_default","source_requirement","owner","refresh_rule","expiry_behavior","public_display","unknown_behavior","example"
"telecom.mmr_document_id","commercial;premium","document_ref","FALSE","Controlled plan of meet-me rooms risers and routes.","Versioned document ID under security policy","none","unknown","As-built low-voltage drawings.","Building IT manager","On as-built change","Access grant expires; metadata remains","Restricted","Offer gated request without revealing topology.","value=null; evidence.state=unknown"
"building.lift_banks","commercial;premium","array<object>","CONDITIONAL","Passenger lift groups and served-floor mappings.","bank_id;car_count;capacity;speed;served_floor_ids;source_id","kg and m/s","unknown","Approved lift schedule.","Building manager and lift consultant","On programming change","Dependent floor mappings become unknown","Yes summary","Show Not verified.","value=null; evidence.state=unknown"
"building.lift_performance","commercial;premium","object","FALSE","Designed or measured peak lift service performance.","interval;handling_capacity;wait_percentiles;method;test_date","seconds and percent","unknown","Lift study or measured traffic test.","Lift consultant","Annual and after occupancy change","Lose measured badge at expiry","Yes","Show Not measured.","value=null; evidence.state=unknown"
"building.goods_lift","commercial;retail;premium","object","CONDITIONAL","Goods or service lift dimensions capacity route hours and booking rules.","lift_id;dimensions;capacity;served_floors;hours;booking_notice","m and kg","unknown","Building logistics schedule.","Building manager","Quarterly","Mark stale and require confirmation","Yes summary","Show Not confirmed.","value=null; evidence.state=unknown"
"building.loading_dock","commercial;retail;premium","object","CONDITIONAL","Loading location vehicle limits route and booking policy.","entrance_id;coordinate;vehicle_height;vehicle_length;hours;notice","m and local time","unknown","Surveyed logistics guide.","Building manager","On route or rule change","Hide directions and request update","Yes summary","Show Not mapped.","value=null; evidence.state=unknown"
"security.access_hours","commercial;retail;premium","schedule","CONDITIONAL","Tenant building access hours and exception procedure.","Timezone-aware schedule plus exceptions","local time","unknown","Current security policy.","Security manager","Quarterly","Mark stale","Yes","Show Not confirmed.","value=null; evidence.state=unknown"
"security.access_systems","commercial;premium","array<enum>","FALSE","Supported credential visitor and integration capabilities without sensitive configuration.","badge;mobile_credential;visitor_preregistration;turnstile;API_integration","none","unknown","Owner security specification and privacy review.","Security manager and privacy officer","On system change","Mark unknown","Public-safe summary","Show Not supplied.","value=null; evidence.state=unknown"
"fire.egress_document_id","commercial;residential;retail;premium","document_ref","CONDITIONAL","Approved fire plan containing exits stairs travel constraints and refuge information.","Versioned document ID","none","unknown","Approved fire-safety plan.","Fire consultant","On approval change","Capacity results become invalid","Metadata yes; plan per policy","Do not calculate occupant load.","value=null; evidence.state=unknown"
"fire.max_occupant_load","commercial;retail","integer","CONDITIONAL","Maximum approved occupants for selected floor or space.","Positive integer with scope and source_id","people","unknown","Approved occupancy or fire-safety document.","Fire consultant","On plan or use change","Fit-out capacity becomes unknown","Yes","Show Not verified and block definitive capacity.","value=null; evidence.state=unknown"
"accessibility.features","all","array<object>","CONDITIONAL","Verified accessible path and facility elements relevant to selected destination.","entrance;route;lift;toilet;parking;refuge;hearing_support each state and source","none","unknown","Current accessibility audit.","Accessibility officer","Annual and after works","Each feature becomes unknown independently","Yes","Show Not verified; never infer complete accessibility from one feature.","value=null; evidence.state=unknown"
"esg.certifications","all","array<object>","FALSE","Sustainability or wellness certifications with stage scope and issuer.","scheme;version;score;stage target_or_final;scope;issued_at;source_id","none","unknown","Certificate from issuing body.","Owner ESG manager","On certification event; annual check","Expired or target-only status remains explicit","Yes","Show No verified final certificate rather than generic green claim.","value=null; evidence.state=unknown"
"esg.energy_intensity","commercial;premium","metric_object","FALSE","Measured building operational energy normalized under declared boundary.","value;period;area_basis;occupancy_basis;assurance;source_id","kWh/sqm/year","unknown","Metered report with methodology.","Property manager and ESG manager","Annual with quarterly provisional update","Mark stale and hide benchmark conclusion","Yes","Show Not yet measured.","value=null; evidence.state=unknown"
"esg.tenant_data_access","commercial","object","FALSE","Tenant access to utility and ESG consumption data.","granularity;cadence;format;history;access_method;source_id","none","unknown","Metering service specification and sample report.","Property manager","On service change","Mark unknown","Yes","Show Not confirmed.","value=null; evidence.state=unknown"
"view.asset_type","all","enum","TRUE","Truth classification for a visual claimed as view from selected space.","actual_capture;verified_panorama;surveyed_simulation;illustrative_context","none","unknown","Capture metadata or simulation methodology.","Product data steward","Every asset release","Unknown asset cannot be described as actual view","Yes prominently","Label View type unknown.","illustrative_context"
"view.captured_at","all","timestamp","CONDITIONAL","Date and time an actual or verified panorama was captured.","ISO 8601","UTC","unknown","Embedded metadata and owner confirmation.","Owner marketing","Every capture","Show stale age and planning-change warning","Yes","Omit capture claim and label illustrative.","value=null; evidence.state=unknown"
"view.camera_pose","all","object","CONDITIONAL","Floor suite point height orientation and field of view for the visual.","space_id;position;heading;pitch;field_of_view","degrees and m","unknown","Surveyed capture or documented simulation pose.","Project modeler","Every asset release","Invalidate orientation linkage","Technical summary","Do not draw exact beam.","value=null; evidence.state=unknown"
"view.obstructions","all","array<object>","FALSE","Existing approved or proposed obstructions relevant to verified sightlines.","type;geometry;planning_status;source_id;verified_at","none","unknown","Planning search and sightline study.","Planning consultant","Quarterly","Mark stale and remove clear-view implication","Yes","Show Not assessed.","value=null; evidence.state=unknown"
"mobility.route.id","all","string","CONDITIONAL","Stable record for a route scenario from verified entrance to destination.","Unique route ID","none","unknown","Routing result with source terms.","Mobility data steward","Generated per scenario","Expire with mobility SLA","Yes","Offer external map directions without an internal time claim.","visitor_lobby_to_station"
"mobility.route.mode","all","enum","CONDITIONAL","Transport mode for a route.","walk;wheelchair;bike;car;bus;rail;light_rail;mixed","none","unknown","Routing-provider result and service data.","Mobility data steward","Daily for service; monthly for static route","Mark stale and request recalculation","Yes","Do not show travel time.","walk"
"mobility.route.duration_range","all","range","CONDITIONAL","Typical or scheduled travel-time range under declared time conditions.","minimum;maximum;percentile;time_window;sample_period","minutes","unknown","Current routing or historical travel data.","Mobility data steward","Daily for transit; monthly for traffic scenarios","Remove current badge and recalculate","Yes","Show straight-line distance only if sourced and labelled.","value=null; evidence.state=unknown"
"mobility.route.distance","all","quantity","CONDITIONAL","Routed distance between exact origin and destination.","Non-negative decimal","m or km","unknown","Routing-provider path.","Mobility data steward","Monthly and on entrance change","Mark stale","Yes","Do not convert straight-line distance into walk distance.","value=null; evidence.state=unknown"
"mobility.route.accessible_state","all","enum","FALSE","Whether the complete route is verified accessible for a defined need.","fully_accessible;partially_accessible;not_accessible","none","unknown","Accessibility-aware routing plus operator and entrance evidence.","Accessibility and mobility stewards","Monthly and on outage","Automatically unknown","Yes","Show Accessibility not verified.","value=null; evidence.state=unknown"
"mobility.future_project","all","deprecated_alias","FALSE","Legacy singular alias; deterministically adapt to mobility.future_projects as a one-item array and never persist this ID.","Map one valid object to mobility.future_projects[0] without changing evidence.","none","unknown","Use the canonical mobility.future_projects source contract.","Mobility research editor","Adapter migration only","Set canonical evidence.state=unknown with reason=expired when freshness fails; never create a stale truth state or move to operating automatically.","No; expose canonical plural field","Resolve through mobility.future_projects; invalid input becomes an empty canonical array with unknown evidence.","mobility.future_projects"
"place.id","all","string","FALSE","Stable nearby-place identifier.","Provider or internal ID with source namespace","none","unknown","Licensed place dataset or first-party source.","Local content data steward","Monthly","Remove from current results when expired","Yes","Do not infer a missing category means none exists.","value=null; evidence.state=unknown"
"place.category","all","enum","FALSE","Decision-oriented category for a nearby place.","food;cafe;grocery;pharmacy;medical;gym;childcare;hotel;conference;bank;parking;business_ecosystem;other","none","unknown","Place source plus editorial classification.","Local content data steward","Monthly","Mark stale and hide from open-now filters","Yes","Show No verified results.","cafe"
"place.coordinate","all","geo_point","FALSE","Verified place coordinate for routing.","Valid WGS84 point","WGS84","unknown","Licensed place record or first-party location.","Geo data steward","Monthly","Do not route when expired","Yes","List only source-provided address if available.","value=null; evidence.state=unknown"
"place.operating_state","all","enum","FALSE","Current operating/delivery condition of a place or transport asset, separate from its evidence state.","operating;under_construction;planned;temporarily_closed;closed","none","unknown","Current first-party operator or authority evidence with expected date/range for future infrastructure.","Local content data steward","Monthly; weekly for launch pipeline","Expired evidence becomes state=unknown with reason=expired; browser derives the sixth presentation label unknown","Yes with explicit status badge; legacy open adapts only to operating","Label status not verified; proposal/concept is not silently promoted to planned.","value=null; evidence.state=unknown"
"place.last_verified_at","all","timestamp","FALSE","Last time core place facts were checked.","ISO 8601 UTC","UTC","unknown","Source retrieval or manual verification event.","Local content data steward","Monthly","Place loses current badge","Yes as age","Show Not recently verified.","value=null; evidence.state=unknown"
"market.comparable","commercial;residential;premium","object","FALSE","One rent sale or occupancy comparable with matching and adjustment evidence.","asset;space_type;date;area;area_basis;price;incentives;condition;source_id;adjustments","none","unknown","Licensed transaction data authoritative disclosure or clearly labeled listing.","Market research analyst","Monthly","Remove from current aggregate after policy horizon","Yes subject to license","Show No verified comparable set.","value=null; evidence.state=unknown"
"market.submarket_metric","commercial;residential;premium","deprecated_alias","FALSE","Legacy singular alias; deterministically adapt to market.submarket_metrics as a one-item array and never persist this ID.","Map one valid metric object to market.submarket_metrics[0] without changing evidence.","varies","unknown","Use the canonical market.submarket_metrics source contract.","Market research analyst","Adapter migration only","When freshness fails set canonical evidence.state=unknown with reason=expired and stop current-tense language.","No; expose canonical plural field","Resolve through market.submarket_metrics; invalid input becomes an empty canonical array with unknown evidence.","market.submarket_metrics"
"risk.item","all","object","FALSE","One material location project legal environmental or delivery risk.","category;status;severity;geography;period;source_id;mitigation_question","none","unknown","Authoritative notice engineering study counsel or clearly labeled observation.","Risk analyst","Monthly or event-driven","Mark stale; never convert missing to no risk","Yes with legal and security review","Show Risk not assessed.","value=null; evidence.state=unknown"
"source.id","all","string","TRUE","Immutable identifier for an evidence source record.","Unique ID","none","unknown","Created by ingestion or editorial verification workflow.","Product data steward","Never reuse","Dependent facts become invalid if source is removed","Yes as citation handle","Fact remains unknown.","src_owner_stack_2026_08"
"source.type","all","enum","TRUE","Nature of evidence supporting a fact.","official_certificate;owner_signed;owner_marketing;statutory_filing;municipal;operator;licensed_dataset;field_observation;derived;user_input","none","unknown","Recorded with each source.","Product data steward","At ingestion","Dependent fact becomes unknown","Yes","Label Source type unknown.","statutory_filing"
"source.url_or_document_id","all","string","TRUE","Resolvable public URL or controlled document reference.","HTTPS URL or internal versioned document ID","none","unknown","Direct evidence location.","Product data steward","At ingestion and link checks monthly","Mark broken; dependent fact becomes stale not deleted","Yes or controlled per policy","Offer evidence request.","value=null; evidence.state=unknown"
"source.published_at","all","date_or_version","CONDITIONAL","Publication date effective date or revision identifier.","ISO date version string or null when evidence.state=unknown","none","unknown","Source metadata.","Product data steward","At ingestion","Fact cannot receive current badge without a date policy","Yes","Show Date not supplied.","2026-08-10"
"source.verified_at","all","timestamp","TRUE","Time the system or authorized reviewer last checked the source and scope.","ISO 8601 UTC","UTC","unknown","Verification workflow event.","Assigned fact owner","Per field SLA","After expiry or SLA failure set evidence.state=unknown with reason=expired; the UI may label the age stale but stale is never an evidence state.","Yes as age","Show Not verified.","2026-08-10T18:00:00Z"
"source.confidence","all","enum","TRUE","Confidence classification separate from truth state.","high;medium;low","none","unknown","Documented editorial rubric.","Product data steward","Every verification","Expired confidence becomes unknown","Yes","Show Confidence unknown.","high"
"source.scope","all","string","TRUE","Precisely which project floor space period and assertion the evidence supports.","Structured scope expression plus human summary","none","unknown","Reviewer annotation.","Assigned fact owner","Every verification","Fact cannot inherit broader evidence silently","Yes","Do not publish the fact as verified.","project:park;floor:20;field:rentable_area"
"conflict.id","all","string","FALSE","Record grouping two or more incompatible sourced values.","Unique conflict ID","none","unknown","Automated detector or reviewer finding.","Product data steward","On ingestion and weekly review","Persists until documented resolution","Yes","If no registry exists retain multiple values and mark contradicted.","floor_count_conflict_park"
"conflict.status","all","enum","FALSE","Resolution state for a source contradiction.","open;investigating;resolved;accepted_difference_in_scope","none","unknown","Named reviewer decision with rationale.","Product data steward","Weekly for P0; monthly otherwise","Open conflict blocks definitive value","Yes","Show Contradicted.","open"
"document.id","all","string","FALSE","Immutable reference for a versioned due-diligence or technical file.","Unique ID","none","unknown","Controlled document repository.","Transaction coordinator","Every upload","Old version retained but superseded","Metadata yes; file per policy","Show Document not supplied.","floor20_plan_revC"
"document.category","all","enum","FALSE","Purpose category for discovery requests and access rules.","availability;ownership;legal;plan;BIM;MEP;fire;accessibility;ESG;lease;fitout;telecom;other","none","unknown","Document owner classification.","Transaction coordinator","Every upload","No expiry; version and access rules apply","Yes as index","Offer exact document request.","plan"
"document.revision","all","string","FALSE","Owner-issued revision or effective version.","Non-empty revision label","none","unknown","File metadata and owner confirmation.","Document owner","Every upload","Superseded document cannot support current claims","Yes","Label Revision not supplied.","Rev C"
"document.access_class","all","enum","TRUE","Security and confidentiality class controlling document delivery.","public;requestable;NDA_required;authorized_buyer_only;restricted_security","none","unknown","Owner security privacy and legal policy.","Security and transaction owners","On policy change","Access grant expires and is revoked","Class visible; file conditional","Do not expose file; offer appropriate request if allowed.","NDA_required"
"document.expires_at","all","timestamp","FALSE","Date after which document cannot support a current transaction claim.","ISO 8601 UTC or null when evidence.state=unknown","UTC","unknown","Document owner validity policy.","Document owner","At upload and revision","Dependent current claims become evidence.state=unknown with reason=expired; a stale presentation label is derived and never a fifth truth state.","Metadata yes","Treat as expired if current status requires freshness and no expiry exists.","value=null; evidence.state=unknown"
"i18n.term_catalog","all","enum","TRUE","Message namespace selected from asset type and interaction context.","commercial;residential;retail;mixed;neutral","none","unknown","Product schema and approved localization catalog.","Localization owner","Every copy release","Neutral catalog if asset type unknown","Yes","Never use residential fallback for commercial.","commercial"
"i18n.translation_state","all","object","TRUE","Completeness and review status for a locale and surface.","locale;surface;machine_complete;native_reviewed_at;reviewer_role","none","unknown","Rendered text audit and native review.","Localization owner","Every copy release","Lose reviewed badge on string changes","Operational metadata","Fall back to neutral approved language and label locale gap internally.","value=null; evidence.state=unknown"
"ux.floor_selection_strategy","commercial;residential;premium;3D","enum","TRUE","Primary and accessible mechanisms that resolve a user's intended floor.","calibrated_surface_tap;mesh_hit;native_floor_select;explicit_polygon","none","unknown","Model calibration plus QA evidence.","3D engine owner","Every model release","Disable direct tap and use native selector","Public interaction","Offer accessible project-level request.","calibrated_surface_tap"
"ux.selection_calibration_version","commercial;residential;premium;3D","string","TRUE","Version tying model geometry to authoritative floor mappings.","Model hash plus floor-schedule version","none","unknown","Calibration artifact and signed floor schedule.","Project modeler","Every model or schedule release","Tap selection disabled","Technical metadata","Use native selector with verified crosswalk only.","value=null; evidence.state=unknown"
"ux.tool_availability","all","array<object>","TRUE","Truthful state and action for each heavy tool for selected asset.","tool_id;state available;requestable;not_applicable;null when evidence.state=unknown;asset_id;source_id","none","unknown","Actual asset inventory and asset-type policy.","Product owner","Every asset or tool release","Tool becomes request state not empty shell","Yes","Do not render a door promising unavailable content.","value=null; evidence.state=unknown"
"ux.dialog_contract_version","all","string","TRUE","QA contract for full-screen tools including focus return Back and scroll behavior.","Semantic version linked to test suite","none","unknown","Passing interaction test evidence.","Frontend QA","Every dialog release","Release blocked on missing contract","Technical metadata","Disable new tool entry point.","1.0.0"
"inquiry.case_id","all","string","TRUE","Public-safe unique identifier returned after accepted enquiry.","Opaque non-sequential token","none","unknown","Lead service response after persistence.","Sales operations engineering","Every accepted submission","Retain per lead policy; never recycle","Yes to submitting user","Show retry-safe failure; never fake success.","NL-7K4P2M"
"inquiry.project_id","all","reference","TRUE","Semantic project contract context captured with an enquiry; this dictionary field maps to RFP wire project_contract_id, while the separate numeric wire project_id is only the WordPress routing key.","Valid project.id serialized as project_contract_id","none","unknown","Immutable selection context plus separately validated wp_post_id routing lookup.","Product engineering","Every submission","Reject submission if the contract ID is absent or mismatches the numeric route lookup","In acknowledgement","Do not submit as a floor-specific lead.","toha2-tel-aviv"
"inquiry.space_id","all","reference","CONDITIONAL","Exact floor suite or unit the user is asking about.","Valid space.id or explicit project-level state","none","unknown","Selection context confirmed to user.","Product engineering","Every submission","Persist snapshot even if later inventory changes","In acknowledgement","Label enquiry as project-level.","value=null; evidence.state=unknown"
"inquiry.question_ids","all","array<string>","FALSE","Atomic unanswered questions selected for one structured RFP.","References to gap or question catalog IDs","none","unknown","User selection.","Buyer and product","Per submission","Retain per lead policy","Yes to buyer and recipient","Allow free text but label no structured questions.","G031;G041;G067"
"inquiry.company_name","commercial","string","CONDITIONAL","Buyer organization name for B2B qualification.","User-provided text","none","unknown","User input with privacy notice.","Buyer","Per submission","Delete or anonymize per retention policy","Only authorized recipients","Allow individual or confidential company state.","Example Startup Inc."
"inquiry.role","commercial","string","FALSE","User's organizational role relevant to the requirement.","User-provided or controlled list plus other","none","unknown","User input.","Buyer","Per submission","Delete or anonymize per retention policy","Authorized recipients","Do not infer from email domain.","Workplace lead"
"inquiry.headcount","commercial","integer_or_range","FALSE","Expected workforce headcount used for qualification and test fit.","Positive integer or min-max range","people","unknown","User input.","Buyer","Per submission and scenario revision","Delete or anonymize per retention policy","Authorized recipients","Leave unknown without blocking general enquiry.","200-250"
"inquiry.timeline","commercial;residential;premium","date_or_range","FALSE","Buyer target possession or move-in window.","ISO date or date range","date","unknown","User input.","Buyer","Per submission","Retain per policy","Authorized recipients","Leave unknown and ask during follow-up.","2027-Q2"
"inquiry.preferred_language","all","locale","TRUE","Language requested for response.","he;en;fr;ru;ar;other","BCP47","unknown","Explicit user selection or current locale confirmed in form.","Buyer","Per submission","Persist with case","Recipient and acknowledgement","Ask user; do not infer nationality.","en"
"inquiry.timezone","all","timezone","FALSE","Time zone for response and scheduling.","IANA time zone","none","unknown","User input or explicit confirmation.","Buyer","Per submission","Persist with case","Authorized recipient","Use email-first and ask before calling.","America/New_York"
"inquiry.contact_preference","all","deprecated_alias","FALSE","Legacy singular alias; deterministically adapt to inquiry.contact_preferences.channel and never persist this ID.","email;phone;whatsapp;scheduled_call;no_preference","none","unknown","Use explicit buyer input under the canonical inquiry.contact_preferences contract.","Buyer","Adapter migration only","Persist only the canonical preferences object; honor withdrawal.","No; expose canonical preferences object","Map the value to inquiry.contact_preferences.channel and leave every unsupplied preference null.","inquiry.contact_preferences.channel"
"routing.recipient_category","all","enum","TRUE","Public-safe destination category selected by routing.","verified_landlord;verified_developer;authorized_broker;nadlan_commercial_desk;nadlan_support","none","unknown","Versioned routing configuration and authorization evidence.","Sales operations","Real time and monthly audit","Fallback to staffed desk; alert if unknown","Yes after submission","Do not state delivered to owner.","nadlan_commercial_desk"
"routing.response_sla","all","duration_object","TRUE","Honest target for first human response by request class language and service hours.","duration;business_hours;timezone;escalation_policy_id","hours","unknown","Published staffed operations policy.","Sales operations","Quarterly and on staffing change","Remove promise and show acknowledgement only","Yes","State SLA not available.","1 business day"
"routing.route_status","all","enum","TRUE","Auditable delivery state for the accepted enquiry.","accepted;queued;delivered;acknowledged;failed;fallback","none","unknown","Lead service and destination acknowledgement.","Sales operations engineering","Real time","Escalate failures; never convert to success","Buyer sees safe status; operations sees detail","Show received but routing unconfirmed only if persisted safely.","fallback"
"privacy.notice_version","all","string","TRUE","Version of just-in-time notice shown at submission.","Immutable policy version ID","none","unknown","Published privacy notice.","Privacy officer","On policy change","Submission blocked if no valid notice","Yes","Do not collect personal data.","2026-08-10-v1"
"privacy.consent_record","all","object","CONDITIONAL","Specific user permissions captured with notice version and timestamp.","purpose_ids;notice_version;timestamp;locale;withdrawal_method","none","unknown","User action recorded by lead service.","Privacy officer","Per submission","Retain and delete under policy; never fabricate","User receipt and audit log","Do not perform optional processing without consent.","value=null; evidence.state=unknown"
"privacy.retention_rule","all","object","TRUE","Retention deletion and anonymization rule for each data class.","data_class;retention_period;legal_basis;deletion_action;owner","days or months","unknown","Approved privacy and records policy.","Privacy officer","Annual and on law or system change","Collection disabled for ungoverned fields","Summary yes","Do not collect the field.","value=null; evidence.state=unknown"
"privacy.document_access_grant","commercial;premium","object","FALSE","Time-limited authorization to controlled technical or legal documents.","case_id;document_ids;authorized_party;granted_at;expires_at;revoked_at;audit_id","none","unknown","Approved NDA authorization and least-privilege workflow.","Transaction and security owners","Every access event","Revoke automatically at expiry","Only authorized user and audit","No access; offer request if policy permits.","value=null; evidence.state=unknown"
"area.temporal_context","all","array<object>","FALSE","Dated evidence describing immediate-area conditions by time of day day type and construction period.","period;condition;observation_type;source_id;verified_at;confidence","none","unknown","Official notices or dated field observations with location and scope.","Local research editor","Quarterly and after material works","Expired observations remain historical and lose current status","Yes with evidence label","Show Area conditions not assessed and offer visit planning.","value=null; evidence.state=unknown"
"building.acoustic_performance","commercial;residential;premium","object","FALSE","Measured or designed facade and base-build acoustic performance with test scope.","metric;value;unit;test_location;standard;measured_at;source_id","varies","unknown","Acoustic report facade specification or dated site measurement.","Owner acoustic consultant","After facade change or material noise change","Lose verified badge and block performance conclusion","Yes summary","Show Not tested; do not apply a generic rating.","value=null; evidence.state=unknown"
"building.amenities","all","array<object>","FALSE","Building-contained amenities with operational status location access eligibility and hours.","amenity_id;category;name;floor;status;access_rule;hours;source_id;verified_at","none","unknown","Current building-manager inventory and relevant lease or operating evidence.","Property manager","Monthly","Expired amenities become unknown rather than open","Yes","Show No verified amenity inventory; do not imply none exist.","value=null; evidence.state=unknown"
"building.floor_schedule","commercial;residential;premium;3D","array<object>","TRUE","Authoritative versioned stack mapping every physical level within one canonical tower to legal marketing lift and model identifiers and use class.","schedule_version;tower_id;floor_records(each includes tower_id and floor_id);source_id;approved_at","none","unknown","Signed current as-built or owner-approved floor schedule reconciled to project.tower_registry.","Owner architect","On tower numbering program model or lift mapping change","All dependent selection and status records become contradictory or unknown","Yes","Disable definitive 3D floor claims and offer verified stack request.","value=null; evidence.state=unknown"
"comparison.office_cost_fields","commercial","array<string>","TRUE","Ordered canonical fields required for comparable office occupancy cost analysis.","rentable_area;usable_area;load_factor;base_rent;service_charge;arnona;parking;utilities;fitout;incentives;total_cost;missing_inputs","field IDs","unknown","Approved commercial comparison schema and calculation policy.","Product owner and finance analyst","Every comparison schema release","Comparison becomes unavailable until schema is restored","Yes","Render no residential fallback rows.","value=null; evidence.state=unknown"
"comparison.schema","all","object","TRUE","Asset-type-specific comparison contract defining allowed rows units provenance and missing-value behavior.","asset_type;version;field_ids;calculation_ids;locale_rules;unknown_policy","none","unknown","Product-approved versioned comparison specification.","Product owner","Every schema release","Disable comparison for unsupported asset type","Yes","Show Comparison not available for this asset type.","value=null; evidence.state=unknown"
"documents.access_policy","commercial;premium","object","TRUE","Classification NDA authorization grant audit expiry and revocation rules for data-room documents.","classes;eligibility;approval_roles;grant_duration;audit_rule;revocation_rule","none","unknown","Owner-approved legal security and privacy policy.","Security privacy and transaction owners","On policy change; annual review","Deny access by default and revoke active grants where required","Policy summary yes","Do not expose or imply availability of restricted files.","value=null; evidence.state=unknown"
"documents.availability_schedule","commercial;residential;premium","document_ref","CONDITIONAL","Current signed space-level availability schedule supporting public transaction states.","document_id;revision;effective_at;expires_at;authorized_owner;source_id","none","unknown","Landlord or developer signed schedule or authenticated equivalent.","Leasing or sales director","Daily while active","Dependent statuses become unknown automatically","Metadata and safe summary","Offer a tracked live-verification request.","value=null; evidence.state=unknown"
"documents.data_room_index","commercial;premium","array<object>","CONDITIONAL","Versioned inventory of available requestable restricted and missing due-diligence documents.","document_id;category;scope;revision;access_class;status;owner;verified_at","none","unknown","Controlled repository inventory confirmed by each document owner.","Transaction coordinator","Real time","Expired entries remain visible as superseded metadata","Index yes; files per access policy","Show No verified data-room index and offer exact checklist request.","value=null; evidence.state=unknown"
"documents.floor_pack","commercial;residential;premium","object","CONDITIONAL","Selected-floor document bundle including plan measurement technical and availability evidence.","floor_id;document_ids;pack_revision;verified_at;expires_at;owner","none","unknown","Owner-approved current documents reconciled to one floor schedule version.","Owner architect and leasing team","On any included document revision","Pack becomes incomplete and request-only","Metadata and safe documents","Replace empty viewer with Request verified floor pack.","value=null; evidence.state=unknown"
"entrances.accessible","all","array<object>","CONDITIONAL","Verified accessible entrances and their end-to-end routes to relevant destinations.","entrance_id;coordinate;route_id;served_floor_ids;hours;audit_source_id;verified_at","none","unknown","Current accessibility audit and building-manager confirmation.","Accessibility officer and building manager","Annual and after works","Routes become unknown and directions are suppressed","Yes","Show Accessible entrance not verified.","value=null; evidence.state=unknown"
"entrances.visitor","all","array<object>","CONDITIONAL","Visitor lobby or gate records used for navigation arrivals and hosted access.","entrance_id;name;coordinate;hours;arrival_modes;source_id;verified_at","none","unknown","Surveyed owner entrance schedule and operating policy.","Building manager","Quarterly and on entrance change","Directions fall back to approximate project center","Yes","Label project pin approximate and ask for visitor lobby.","value=null; evidence.state=unknown"
"esg.embodied_carbon","commercial;premium","object","FALSE","Embodied-carbon assessment and materials evidence under a defined life-cycle boundary.","value;unit;life_cycle_stages;area_basis;method;assurance;document_ids","kgCO2e/sqm or project total","unknown","Owner LCA EPD schedule and final construction records.","Owner ESG manager and contractor","On final report or material design revision","Mark stale and remove definitive benchmark claim","Yes summary","Show No verified embodied-carbon evidence.","value=null; evidence.state=unknown"
"esg.operational_programs","all","array<object>","FALSE","Operational indoor-air water waste wellbeing and related facility programs.","program_id;category;status;scope;metric;owner;source_id;verified_at","none","unknown","Current facility policies audits contracts and performance records.","Property manager","Annual and on program change","Expired program becomes unknown not operational","Yes","Show No verified operational program inventory.","value=null; evidence.state=unknown"
"esg.renewable_energy","all","object","FALSE","On-site generation off-site procurement certificates and tenant choice for renewable electricity.","onsite_share;procurement_type;certificate_type;tenant_option;period;source_id","percent and energy","unknown","Utility contracts generation records and owner policy.","Owner ESG manager","Annual and on energy contract change","Mark stale and suppress current share","Yes","Show Renewable-energy options not verified.","value=null; evidence.state=unknown"
"fire.egress","commercial;residential;retail;premium","object","CONDITIONAL","Selected-floor exit stair travel refuge and source-plan facts used for life safety and test fits.","floor_id;exit_count;stair_ids;travel_constraints;refuge_features;document_id;revision","none","unknown","Approved fire plan and current occupancy approval.","Fire consultant and owner architect","On approved plan or use change","Occupant-load and fit-out results become unknown","Public-safe summary; plan per policy","Do not infer egress from area or generic floor archetype.","value=null; evidence.state=unknown"
"fitout.approval_process","commercial;retail","array<object>","CONDITIONAL","Structured landlord fit-out submission approval inspection and closeout workflow.","stage_id;required_documents;reviewer_role;target_duration;fees;prerequisites;source_id","none","unknown","Current owner-approved fit-out manual and contact matrix.","Owner project manager","On policy change","Process becomes request-only and loses timing claims","Yes summary","Show Current process not supplied and offer manual request.","value=null; evidence.state=unknown"
"fitout.brief","commercial","object","FALSE","Buyer-authored workplace requirements linked to selected space scenario and evidence gaps.","scenario_id;headcount;attendance;program;special_uses;timeline;constraints;revision","none","unknown","Explicit buyer input under disclosed retention and sharing rules.","Buyer","Per saved revision","Delete or anonymize under retention policy","Buyer workspace and authorized recipients","Start an empty guided brief; never infer requirements.","value=null; evidence.state=unknown"
"fitout.capacity_scenarios","commercial","array<object>","FALSE","Alternative workplace capacity results derived from verified geometry and explicit assumptions.","scenario_id;program;headcount;density;constraint_ids;plan_revision;confidence","people and sqm/person","unknown","Workplace-architect model using current plan egress MEP and buyer inputs.","Workplace architect","On any geometry evidence or assumption change","Invalidate affected scenarios immediately","Yes with assumptions","Show Cannot calculate and list missing source fields.","value=null; evidence.state=unknown"
"fitout.mandatory_vendors","commercial;retail","array<object>","FALSE","Landlord rules identifying mandatory recommended or prohibited fit-out consultants contractors and systems vendors.","vendor_or_role;rule;scope;effective_at;source_id","none","unknown","Current landlord fit-out manual or signed project instruction.","Owner project manager","On vendor policy change","Expired rules become unknown","Yes summary","Show Vendor rules not supplied.","value=null; evidence.state=unknown"
"fitout.program_zones","commercial","array<object>","FALSE","Commercial program areas placed within a verified test fit.","zone_id;type;area;capacity;geometry_ref;scenario_id;author;revision","sqm and people","unknown","Workplace architect-authored test fit on current source geometry.","Workplace architect","On plan or scenario revision","Hide obsolete zones and retain revision history","Yes with scenario label","Do not synthesize residential room zones.","value=null; evidence.state=unknown"
